Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 96, 14195, No update data, 9g3qx20w2xwf
Bird, MEX, dcfdfce1-933b-420a-9a24-1dd30f58bda8, 93, 13694, No update data, 9g3qx8bngq5w
Bird, MEX, 847d751c-f301-4ac2-b08c-7d40dd624149, 88, 12859, No update data, 9g3qx8bnu6b1
Bird, MEX, f1b9bf17-41be-4399-98ae-2071a1dc4b31, 98, 14529, No update data, 9g3qx8bph22h
Bird, MEX, e7a42ae0-34c9-45cd-90eb-7a2959fd031b, 87, 12008, No update data, 9g3qx20s429v
Bird, MEX, cd7ca02f-86b1-452a-847a-ca87f9d71354, 21, 1670, No update data, 9g3qx8bnv1hz
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 100, 14062, No update data, 9g3qx20s3hf0
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 99, 13904, No update data, 9g3qx20s8dbx
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 30, 3173, No update data, 9g3qx20e9xgq
Bird, MEX, baf7e912-841b-40cd-a505-13a330771c51, 97, 14362, No update data, 9g3qx8bnynzd
Bird, MEX, 371b868b-bbeb-4909-bb7c-ddfe1b24685d, 99, 14696, No update data, 9g3qx8bnpwk3
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 99, 14696, No update data, 9g3qx20kpyfk
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 88, 12166, No update data, 9g3qx20eb828
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 69, 9164, No update data, 9g3qx28p4wkb
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 100, 14863, No update data, 9g3qx20mj3fv
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 100, 14863, No update data, 9g3qx20kw4p6
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 99, 14696, No update data, 9g3qx20mhssq
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 98, 14529, No update data, 9g3qx20m79cx
Bird, MEX, 1dd5cb01-67ba-42f7-8637-0ac5bbbbd4ef, 45, 5372, No update data, 9g3qrrdn938r
Bird, MEX, 2583beb4-6fd3-45a1-bb01-edbb449678c7, 81, 11690, No update data, 9g3qx207md8g
