Bird, MEX, 6a04f47f-94f5-44a2-8f70-14771386cb99, 53, 7014, No update data, 9g3qwf4m5hvb
Bird, MEX, 09e965af-9895-4f8b-8a34-5aa56f31adf1, 57, 5428, No update data, 9g3qwg50759h
Bird, MEX, 908046a8-666b-44b1-96de-2453602ecb39, 97, 14362, No update data, 9g3qwcf62kg4
Bird, MEX, cf699b1c-6e70-4af5-9d1e-55652660a20c, 97, 14362, No update data, 9g3qwcf60w97
Bird, MEX, 1cd7cd75-ad96-483f-95e8-d36e444d172f, 94, 13861, No update data, 9g3qwcf4rkyd
Bird, MEX, 12290fa7-8409-44db-ad2a-ef2f65167c37, 92, 12798, No update data, 9g3qwf9gkzp1
Bird, MEX, 74c0d2df-7ada-4a90-88e8-aba5060669c0, 94, 13861, No update data, 9g3qwcc8t647
Bird, MEX, 8141228e-df6c-48aa-b069-80d71282a2c8, 92, 13527, No update data, 9g3qwcc8sbd1
Bird, MEX, 24365d25-de23-462b-8ebd-41478f76d845, 80, 10902, No update data, 9g3qwcch4tmu
Bird, MEX, 39b6b613-789f-47e4-b34a-a0ffb19673a3, 51, 6680, No update data, 9g3qwc3tr79d
Bird, MEX, c4ae6873-5a1a-46aa-862a-e7d52a1b2195, 97, 14362, No update data, 9g3qwc3sx73e
Bird, MEX, 85d8442e-7f7e-4b30-89b8-e768f6fd5b36, 96, 14195, No update data, 9g3qwc3srqqe
Bird, MEX, 87876d47-189c-496c-a6ac-bf147fa4db7b, 98, 14529, No update data, 9g3qwc3srmy8
Bird, MEX, 6ae6f1b7-4b1b-431c-8dae-9172f21303dc, 96, 14195, No update data, 9g3qwc3squ0q
Bird, MEX, af37fd92-ec54-41cb-b579-f46030106155, 96, 14195, No update data, 9g3qwc3sscpj
Bird, MEX, 252b2f05-de86-4456-b18e-165a5cf781db, 71, 9480, No update data, 9g3qwcb3mq44
Bird, MEX, 49099321-bb55-41d0-8339-8c3b325b1500, 62, 8058, No update data, 9g3qwf8hvs2k
Bird, MEX, 66b6528b-30b2-47b3-85d4-20dc8b480dce, 70, 9853, No update data, 9g3qwf8hsff0
Bird, MEX, 7f95d03e-3842-4486-898a-6353a05a7c69, 57, 7268, No update data, 9g3qwc2vs6mt
Bird, MEX, 8bca86ad-cc07-4b04-9607-aa32ae28ef3b, 85, 12358, No update data, 9g3qwc1m76h0
Bird, MEX, 72229183-3f2b-4d16-9460-d2b930764c18, 78, 10586, No update data, 9g3qwc1e0350
Bird, MEX, 2dae1e72-269b-45ad-a8da-63e4ba00c67f, 44, 5511, No update data, 9g3qwdptq6tj
Bird, MEX, 82bb97e6-207d-4444-9a0b-bc0d1d1a56e8, 76, 10855, No update data, 9g3qw9zg1nxe
Bird, MEX, 03251475-21e1-424c-b151-0432d796cdaf, 96, 14195, No update data, 9g3qwc2kxq1s
Bird, MEX, 14f0ab9a-6660-408d-bfb0-1931b874998d, 100, 14863, No update data, 9g3qw9zfcpc9
Bird, MEX, e2f0209f-db8b-42a0-a429-732249be34eb, 97, 14362, No update data, 9g3qw9zg0fk8
Bird, MEX, 95dd1c2f-c257-4dcc-b97f-1d379f631b29, 94, 13861, No update data, 9g3qw9zf92mb
Bird, MEX, 54b52510-d792-42a7-9f88-46c0344ab0ca, 97, 14362, No update data, 9g3qwc2ky8fj
Bird, MEX, 0fa3ea74-c138-4cde-aca7-6045f66e8236, 97, 14362, No update data, 9g3qw9zf3jps
Bird, MEX, 33dcc4bd-7637-4a2f-a6a6-db29e80f91c4, 97, 14362, No update data, 9g3qw9zf3hzd
Bird, MEX, 9e95c272-5c91-48b4-915b-1d5f83f26b18, 71, 10020, No update data, 9g3qw9zg0936
Bird, MEX, 4a896485-55c7-4446-adaf-77d65013d8ac, 96, 14195, No update data, 9g3qwc2kwt4n
Bird, MEX, 105f8ae8-a9ee-4940-9ca4-e48b130df873, 97, 14362, No update data, 9g3qw9zf3p18
Bird, MEX, 6f27bd7d-f9ee-4922-8ed4-189abbb987fe, 97, 14362, No update data, 9g3qwc2kqxd5
Bird, MEX, 59d15466-7f34-43ac-9f47-dd3bae049cdc, 100, 14863, No update data, 9g3qw9zf26ej
Bird, MEX, 647a8ac9-b2f4-4bb2-a59c-0588c3d3f602, 96, 14195, No update data, 9g3qwc13dph3
Bird, MEX, 14a4b3fa-3d19-4e8f-bb09-dab2085323d5, 99, 14696, No update data, 9g3qwc139zn1
Bird, MEX, 18846e3b-4bfd-4336-80bc-64c8e727be66, 90, 13193, No update data, 9g3qwc2hz45m
Bird, MEX, bc1449ab-e6ca-433a-943d-4fa1280bd392, 74, 9954, No update data, 9g3qw9rvjy79
Bird, MEX, 6051f3c3-2de2-49b0-a57c-c21ac73f7d0d, 94, 13861, No update data, 9g3qwbcjkzd5
Bird, MEX, 2aa9938d-9762-46cd-907b-99fc39cde8f1, 100, 14863, No update data, 9g3qwbcjexxm
Bird, MEX, fe28ac95-d1c9-4f78-9acb-effe864fe9ea, 82, 11857, No update data, 9g3qwbcjdqrt
Bird, MEX, 77e5da72-0acb-4640-b577-e8416c2b4890, 97, 14362, No update data, 9g3qwbcj9uw4
Bird, MEX, 83b3a034-c838-471f-954e-1db1d9194ba3, 98, 14529, No update data, 9g3qw9z0wrj4
Bird, MEX, 165b070d-c95b-438b-ace8-b3746414c890, 44, 5511, No update data, 9g3qw9rtqby3
Bird, MEX, 1ff3cd17-af90-43b9-953c-da400b1a8294, 30, 3173, No update data, 9g3qwbc710pf
Bird, MEX, 257dab29-0d1d-46b4-bab2-b0fa27525c39, 90, 13193, No update data, 9g3qw9rf9v1n
Bird, MEX, fd045d80-3d23-40ff-9dbb-a0ca855fd917, 60, 7742, No update data, 9g3qwbch248h
Bird, MEX, 27a5d18b-7206-4486-9c1a-b033e801bec8, 61, 8350, No update data, 9g3qwbc26gfe
Bird, MEX, 79cbe957-bedb-4467-81ae-336f4d83693d, 93, 13694, No update data, 9g3qwdwf2m7p
Bird, MEX, c99f496a-254e-4940-8951-e0b58fd65a98, 51, 6680, No update data, 9g3qwdwf8q7p
Bird, MEX, 80ef54c9-45b2-4874-8e8a-fddaead3ac1c, 96, 14195, No update data, 9g3qwc060jn1
Bird, MEX, f4137f90-4d56-4d2c-b8be-d989b7be97df, 100, 14863, No update data, 9g3qwdwdwbw6
Bird, MEX, 7edc0092-f9e8-4a15-8aa2-30695b161b57, 99, 14696, No update data, 9g3qwdwdw99b
Bird, MEX, fedbd6af-5e30-4068-9cc8-2a9b5e6b0314, 97, 14362, No update data, 9g3qwc04ju7t
Bird, MEX, ceb1efff-ba7a-4a41-a15d-4ef11e428aa2, 97, 14362, No update data, 9g3qwc04jtj3
Bird, MEX, c733bad4-3f9c-4ecb-a7a6-d704cf00d488, 100, 14863, No update data, 9g3qwbbt3mtz
Bird, MEX, 401f7ecd-092f-4d37-8f30-0ea645f76307, 100, 14863, No update data, 9g3qwbbt89nk
Bird, MEX, aee3eb46-20c3-4f88-a18c-5177c16e7e89, 99, 14696, No update data, 9g3qw9yeyhnc
Bird, MEX, 1f11fc4a-3365-4b21-975b-083a163f0f31, 98, 14529, No update data, 9g3qw9yewpwy
Bird, MEX, 7551a3ac-bfc1-4b53-a378-b027b34a0568, 67, 9352, No update data, 9g3qw9yevswt
Bird, MEX, 5e8270dd-ba2c-44e3-b347-258a074f1cd4, 76, 10270, No update data, 9g3qw9yxdsm9
Bird, MEX, dd60323c-bae0-487c-beb7-fc1560eda8b3, 96, 14195, No update data, 9g3qw9rjx5em
Bird, MEX, 3e7b266f-5e8a-4754-9d79-762b68c1806b, 96, 14195, No update data, 9g3qw9rjwy2n
