Lime, ATL, WQP, high, 13277, 2019-08-12T22:45:12.000Z, dn5br47zzgmc
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 93, 13694, No update data, 9g3qx20jy3u6
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 97, 14362, No update data, 9g3qx20jwqh7
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 91, 13360, No update data, 9g3qx203r7bg
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 94, 13114, No update data, 9g3qx20k2q7d
Bird, MEX, 11fac914-7ab6-4d5c-ac39-b6037963dc12, 93, 13694, No update data, 9g3qrrwz5d9b
Bird, MEX, 817ec3eb-bc89-4e90-b7ab-aea8550b93ea, 88, 12166, No update data, 9g3qx32byzjs
Bird, MEX, 36f00274-02fe-4d11-9f7c-23cef08ef71a, 97, 14362, No update data, 9g3qx902eg24
Bird, MEX, 018e6980-c8c1-44d0-bcc7-60ed1c53c034, 19, 1336, No update data, 9g3qx9036fek
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 72, 9638, No update data, 9g3qx3pyw43m
Bird, MEX, e55c5dda-1fc7-438f-8418-3b156d39c78a, 78, 11189, No update data, 9g3qx202q9dt
Bird, MEX, c26f0539-6bba-417a-99a6-e2ebdbecbf99, 93, 13694, No update data, 9g3qx202t9tz
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 100, 14863, No update data, 9g3qx903hcrf
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 94, 13114, No update data, 9g3qx3e5v8yn
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 98, 14529, No update data, 9g3qx903hz98
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 88, 12859, No update data, 9g3qx202q015
Bird, MEX, fdf46c44-51b8-449d-8d15-3fdbb6eecbd3, 97, 13588, No update data, 9g3qx202mw0b
Bird, MEX, 6f3742bc-3afd-472c-a60a-4141cb88f2f8, 98, 14529, No update data, 9g3qx3ehn948
Bird, MEX, 97f75477-eeb6-4119-b8c6-cc56fdeb60a3, 84, 11534, No update data, 9g3qrrc42t2s
Bird, MEX, efd48a79-c49f-4e7c-9cba-d2ce7b2eae94, 52, 6847, No update data, 9g3qrrc0yprm
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 96, 13430, No update data, 9g3qx20h5mh8
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 92, 13527, No update data, 9g3qx0pypth0
Bird, MEX, 28783902-2f4a-4e22-acb1-a03e54c907e5, 90, 13193, No update data, 9g3qx202h54u
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 93, 13694, No update data, 9g3qrrbrsqn5
Bird, MEX, c479096a-dfb9-4374-b9c8-e1d4007bf053, 60, 8183, No update data, 9g3qx0zdsnxz
