Bird, MEX, 85258989-ba9d-4a53-b0e4-805542e73c00, 81, 11060, No update data, 9g3qx20m5h2h
Bird, MEX, 42757dd7-8895-474f-85f1-73961131e347, 54, 6794, No update data, 9g3qrrz1d8mp
Bird, MEX, 80117cf9-3e72-425b-9bd0-c8c01fc68abb, 73, 9796, No update data, 9g3qx20q0wbs
Bird, MEX, d471a117-b100-4d2a-8ddd-e830932949b8, 70, 9853, No update data, 9g3qx20m60hg
Bird, MEX, bedbe1c3-956b-4689-bb54-28ea3743d365, 60, 7742, No update data, 9g3qx20m8eqc
Bird, MEX, 56f1ff43-cd45-443e-9df6-3c3568753d9b, 87, 12692, No update data, 9g3qx2092w8s
Bird, MEX, 95306a0a-b7d7-447c-8e39-e688a0e085a0, 64, 8374, No update data, 9g3qx203xc4k
Bird, MEX, d3ba7286-371e-49e4-a0d6-c129eca3a61a, 85, 12358, No update data, 9g3qx20jr8sp
Bird, MEX, e065aa54-2d11-44dc-9e41-8a6abbf45960, 84, 12191, No update data, 9g3qx2091041
Bird, MEX, 316754ef-a08c-44ae-8fcc-6cc8abc57202, 84, 12191, No update data, 9g3qx20921tm
Bird, MEX, a9251900-d974-4357-846d-c26c1804dc6b, 89, 13026, No update data, 9g3qx203yb28
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 48, 6179, No update data, 9g3qrrbvf1uf
Bird, MEX, 9002b5ac-a7a6-4e75-9e70-cc9315530bc7, 43, 5056, No update data, 9g3qx203x30u
Bird, MEX, 65ec711a-c635-4597-a88b-54392a4dab98, 66, 9185, No update data, 9g3qx203y1z6
Bird, MEX, 5eaa876a-e265-4ffb-b942-00d69952f628, 81, 11690, No update data, 9g3qx208bj89
Bird, MEX, cfbe43ca-5f77-4f29-8f41-a24e85a79f51, 84, 12191, No update data, 9g3qx203q4x7
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 55, 6952, No update data, 9g3qrrc4ne4s
Bird, MEX, 9ec3c185-162b-445f-876c-7bed5d555ec9, 85, 12358, No update data, 9g3qx203nb8t
Bird, MEX, 52797f51-8bae-40f7-a951-3a2cd61b6273, 85, 12358, No update data, 9g3qx203nmh2
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 90, 13193, No update data, 9g3qrrwysryq
Bird, MEX, 3068356b-477d-492b-a0bc-b41af7d595da, 89, 13026, No update data, 9g3qrrwys7q3
Bird, MEX, 0afed6fc-c9c9-4066-9f11-730f9caa82e3, 94, 13861, No update data, 9g3qrrwysuce
Bird, MEX, fd49aa2e-650b-47c6-9137-51ee32d4ec6f, 54, 7181, No update data, 9g3qx906be0g
Bird, MEX, 828f882f-dc7a-441c-8f3f-ec3477761113, 37, 4342, No update data, 9g3qx0rucy0q
Bird, MEX, 26c6e63f-4bc7-487c-bc48-d4072b8a294a, 96, 13430, No update data, 9g3qx3ehp2xn
Bird, MEX, ed7d1064-8c63-4617-b240-b095d2216c77, 96, 14195, No update data, 9g3qx3ehphhh
Bird, MEX, 02462fc6-5969-470d-b3b0-22f2becf8938, 82, 11218, No update data, 9g3qx3ehpm8v
Bird, MEX, 7265f7a5-3f61-417f-b76e-e33440908a0c, 29, 3006, No update data, 9g3qx0rxjt0b
Bird, MEX, 27a381b4-f157-47e9-a81e-536a224671af, 24, 2054, No update data, 9g3qrrkzxek1
Bird, MEX, 133723b8-9d57-4251-b91c-715ce7483df1, 55, 7348, No update data, 9g3qx8bxuqw2
Bird, MEX, acdf2419-0349-4196-ad84-3a60d3075eaf, 62, 8517, No update data, 9g3qx8bxutgk
Bird, MEX, 4759c780-75e6-4fdc-8a07-396be9394a72, 64, 8374, No update data, 9g3qrrbcezkf
Bird, MEX, ddf57111-dc45-41ed-81e7-2c82fa7d9f98, 80, 10902, No update data, 9g3qx39c3p61
Bird, MEX, a2fdc306-68af-4b21-92c0-5a53a3b7b82f, 42, 5177, No update data, 9g3qrrw1rvp6
Bird, MEX, 3b129dc4-b82a-4ac4-bec6-72d5f4ab70e1, 83, 11376, No update data, 9g3qrrd8pds0
