Bird, MEX, 2343fc3a-74f7-4a3e-8d2e-44ed51c2b42a, 45, 5678, No update data, 9g3qrxbhu284
Bird, MEX, 5e421af7-331e-4685-9b76-ae92936cf173, 87, 12692, No update data, 9g3qx90s8hm8
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 78, 10586, No update data, 9g3qrrkmvmxc
Bird, MEX, 8f75bc15-3c7b-41e8-bef9-41016caef15e, 71, 9480, No update data, 9g3qx3wcqcjg
Bird, MEX, d2b25812-2a8e-400b-a88d-3a41a462bc75, 70, 9853, No update data, 9g3qx3ex5e98
Bird, MEX, efbb0f9c-f89d-4803-bfad-13a3ae3c087c, 81, 11690, No update data, 9g3qx3ex4g5q
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 61, 7900, No update data, 9g3qrr9duzrs
Bird, MEX, b9f3f6ec-8737-40b5-af35-849d967079ec, 85, 12358, No update data, 9g3qx8chjmzz
Bird, MEX, 73a220b8-1109-4e7b-a83f-a091a9dfe305, 22, 1837, No update data, 9g3qx8c5wpre
Bird, MEX, 344f49bf-3493-45a5-ac80-a190fddce4bb, 42, 5177, No update data, 9g3qx897e4ww
Bird, MEX, 66dee90e-c9a8-4249-9414-2d49eea50d71, 78, 11189, No update data, 9g3qx90g5pb6
Bird, MEX, dc7492b7-f820-4216-9745-674f3b4ce9b0, 72, 10187, No update data, 9g3qx837144r
Bird, MEX, a550d7f5-56d2-4b40-8d12-5d705dca8506, 84, 12191, No update data, 9g3qx0p9ynrr
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 70, 9853, No update data, 9g3qx3epceex
Bird, MEX, ddf0a7d3-3c46-4303-986f-268d4d222bc5, 98, 13746, No update data, 9g3qx925uc99
