Bird, MEX, 0f848592-b49d-4f24-94c2-8266e6c83218, 100, 14863, No update data, 9g3qrxuhxmz3
Bird, MEX, b059d456-c51b-423e-8d52-e20184ede2a6, 45, 5372, No update data, 9g3qrwcnwedf
Bird, MEX, 529ed345-3ff7-4057-a84b-a30a5ea52631, 100, 14863, No update data, 9g3qrqdhqh15
Bird, MEX, 87ef05bd-62db-4ec8-90e2-05972157b477, 52, 6478, No update data, 9g3qrq9nuf9q
Bird, MEX, 46f2ec86-2e6c-4419-ac77-6141844234d9, 80, 10902, No update data, 9g3qrx4ms626
Bird, MEX, d642c6da-98c7-4660-8240-9a0771102dd4, 76, 10270, No update data, 9g3qrqxjg407
Bird, MEX, c3b7edef-c76e-4dc1-bdb4-3d29f3527216, 100, 14863, No update data, 9g3qrqdhnnx2
Bird, MEX, 9f5341c6-cd6e-42cc-b230-577c6091fcc7, 89, 12324, No update data, 9g3qrwcrjbgn
Bird, MEX, 819a6a24-37a4-4b90-8b54-a633d5889317, 63, 8216, No update data, 9g3qrpmd9mb0
Bird, MEX, b5c6d0da-17d5-4d3f-9ed1-9f45f8562e6f, 100, 14062, No update data, 9g3qrnzntemb
Bird, MEX, e16bc255-0292-4451-a2b8-0fcb8cfffa63, 100, 14863, No update data, 9g3qrnznsvrw
Bird, MEX, e9000087-8fd2-4890-a514-81f38ba80989, 64, 8374, No update data, 9g3qrx4mjtym
Bird, MEX, 39de7f22-e790-4b52-badd-75fb9acb6ca5, 100, 14863, No update data, 9g3qrqdduuck
Bird, MEX, 41cebaeb-ecab-4eef-9c2b-e67bbe03a6e4, 46, 5530, No update data, 9g3qx8suur8r
Bird, MEX, 93952f2e-6607-49f1-a24b-b2ae076046f3, 100, 14863, No update data, 9g3qrnznm7f9
Bird, MEX, a83f7524-da04-49b5-88d9-26807e17d377, 82, 11218, No update data, 9g3qrqd5c7j2
Bird, MEX, c71885da-65ec-4c3f-9734-c75b4ef533d7, 100, 14863, No update data, 9g3qrqddsrbj
Bird, MEX, 8642b7f6-3550-4289-853d-c1d1eb08cd82, 100, 14863, No update data, 9g3qrqdds3wn
Bird, MEX, 1ee83157-0748-45da-b8d1-2f3ee2b2ce62, 93, 12956, No update data, 9g3qx1kx8guz
Bird, MEX, 67e94c15-d8eb-4fcb-95d2-c4c03ea662bd, 64, 8374, No update data, 9g3qx8tn2rfu
Bird, MEX, afa8c2d3-670e-4802-bb16-b179c54e35fa, 55, 6952, No update data, 9g3qx8hugbt4
Bird, MEX, 4359bdd5-6357-429c-a89d-689d5d6c3705, 100, 14062, No update data, 9g3qrnyveh0n
Bird, MEX, 17959be8-358d-4535-b549-117077d5e818, 100, 14062, No update data, 9g3qrnyvdu5n
Bird, MEX, 2aea48c4-37d8-43d5-a941-ef396fe4a025, 99, 13904, No update data, 9g3qrnyv9qvp
