Bird, MEX, 88e977d2-d2c5-4e77-a02a-483bbde956ce, 72, 9638, No update data, 9g3qx2zzcnd2
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 83, 11376, No update data, 9g3qx2zz767d
Bird, MEX, 50709b8a-8d1c-4f94-be44-47190d5b10c0, 79, 11356, No update data, 9g3qx8bh90f6
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 56, 7515, No update data, 9g3qx2zyp331
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 51, 6680, No update data, 9g3qx8bj6m6j
Bird, MEX, c18697e4-4798-4c2e-9bd4-a884ebeb7e16, 45, 5678, No update data, 9g3qx2b2f39c
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 76, 10855, No update data, 9g3qrrdr4fe2
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 62, 8058, No update data, 9g3qx8bhxudd
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 72, 10187, No update data, 9g3qrrdtq8pe
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 74, 9954, No update data, 9g3qx3dbkux8
Bird, MEX, ff233ac6-b243-4478-81a4-8686f1be7783, 48, 6179, No update data, 9g3qx31pkhg4
Bird, MEX, afb7b6d0-6106-43eb-ba7e-0e7ea42db691, 55, 6952, No update data, 9g3qx8bphf99
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 87, 12692, No update data, 9g3qx22pfgen
Bird, MEX, 129ed5f7-a076-4cbd-b907-980c2ddfca2d, 48, 5846, No update data, 9g3qx3tbdgem
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 49, 6004, No update data, 9g3qrrdnd23z
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 25, 2338, No update data, 9g3qrrbz429v
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 89, 12324, No update data, 9g3qx20kfu74
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 40, 4582, No update data, 9g3qrrz1sj7p
Bird, MEX, 6a306aa7-5d9f-43b5-8b9f-3919d88d8838, 91, 13360, No update data, 9g3qx20kfm9c
Bird, MEX, 07531c9c-ab52-428c-8513-1eb1df633584, 82, 11857, No update data, 9g3qx88wgubn
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 75, 10688, No update data, 9g3qx20m2vey
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 92, 13527, No update data, 9g3qx20k9zyw
Bird, MEX, 0598c619-cf04-4160-9000-98912961cb11, 45, 5678, No update data, 9g3qx2bnqnzr
Bird, MEX, d99eb566-7e3a-4f27-afe2-b8843c4b6835, 31, 3340, No update data, 9g3qrrby1zy9
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 74, 9954, No update data, 9g3qx20kbsyv
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 81, 11060, No update data, 9g3qx20m202m
Bird, MEX, 146d8f27-cbaa-4994-b6a1-ed8b3cf6f0fe, 80, 11523, No update data, 9g3qrrzyghq9
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx30288nz
Bird, MEX, a3d0e264-8279-4f80-aa56-0a04927f385b, 100, 14062, No update data, 9g3qrre98swb
Bird, MEX, aaede11e-3a41-45d8-aed3-f2f3ab4932fa, 87, 12008, No update data, 9g3qx3022k7x
Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 90, 13193, No update data, 9g3qx20jpk2u
Bird, MEX, e10b01c6-35f1-4a26-ae78-004f3c3c7e5f, 49, 6004, No update data, 9g3qrrc4nrkr
Bird, MEX, 85ffc6e3-5a72-4643-9e2a-c1852749f066, 100, 14062, No update data, 9g3qrre93327
Bird, MEX, 25140f1f-106b-4ac1-9c24-383c0349c583, 92, 13527, No update data, 9g3qx203nrkr
Bird, MEX, 04adfd4c-cb44-4a30-8441-1344c7477a6e, 90, 13193, No update data, 9g3qx203nbbx
Bird, MEX, 81dd056b-72b2-4081-8ba0-4f6d752c0645, 88, 12859, No update data, 9g3qx202z38b
Bird, MEX, dbe3520a-b284-45f9-a9f4-28d29248636b, 66, 8690, No update data, 9g3qx3d349th
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 92, 13527, No update data, 9g3qx203m82v
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 96, 14195, No update data, 9g3qx202yhzm
Bird, MEX, 91453918-9081-44bc-9fbc-8149b9a9e8c3, 87, 12692, No update data, 9g3qx203j8jc
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 80, 11523, No update data, 9g3qrrwysknr
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 89, 13026, No update data, 9g3qx202njcn
Bird, MEX, 0eee3ce1-4388-47da-87ec-91b246e64f11, 74, 10521, No update data, 9g3qx203cbys
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 52, 6847, No update data, 9g3qx20hg1y6
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 96, 14195, No update data, 9g3qx3ehn8dw
Bird, MEX, 491f7cf3-237f-462e-9533-48e29e29f64e, 44, 5214, No update data, 9g3qx88few1g
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 96, 14195, No update data, 9g3qx3ehnnr3
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 80, 11523, No update data, 9g3qx9080xpn
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 51, 6680, No update data, 9g3qrr9twubg
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 84, 12191, No update data, 9g3qrr9twfme
Bird, MEX, b498efa9-e1b3-4e5d-b25d-6f9fae0ff3f2, 91, 12640, No update data, 9g3qx8bbhmyq
Bird, MEX, 7905135f-641f-4d24-8b55-e8533cd16bd4, 80, 11523, No update data, 9g3qx0zdkc9q
Bird, MEX, b5e67f67-da21-4183-9ebc-b68e05bb4798, 62, 8517, No update data, 9g3qx33q2wqu
Bird, MEX, 3a253315-22c0-4190-b7ae-4446f7fae3e3, 70, 9322, No update data, 9g3qrr9g4058
Bird, MEX, 798c68df-f407-40ea-9590-2264933c277f, 69, 9686, No update data, 9g3qx3dhjfk0
Bird, MEX, 301fdafb-9156-4f03-a87b-d3b71699631d, 82, 11218, No update data, 9g3qrr7ubvgg
Bird, MEX, 7dcae05c-57ee-4587-95a8-cc788984cb61, 81, 11060, No update data, 9g3qx3u26tb0
Bird, MEX, 0cea28f5-7ebb-4016-bf25-a883a08d2158, 63, 8684, No update data, 9g3qrr7u842e
Bird, MEX, 44d07070-b3ad-4878-afb9-e82209367756, 21, 1670, No update data, 9g3qrr7ukurw
Bird, MEX, 0e072fb4-261a-4445-af94-4a084fb2473b, 88, 12859, No update data, 9g3qx3ep9vnx
Bird, MEX, c3c14471-824a-455a-a662-b88719af3bd0, 79, 10744, No update data, 9g3qx90crshq
Bird, MEX, 1564aa3a-d67b-4308-8c6d-0f1ca60dab88, 78, 11189, No update data, 9g3qx9110x8b
Bird, MEX, bbd15dba-d59c-4d70-9583-9b62abdce6cd, 89, 12324, No update data, 9g3qx92h7jqw
Bird, MEX, 310ad17e-0864-41bb-bd64-10f8ba2f9529, 57, 7682, No update data, 9g3qx9112xx5
Bird, MEX, ca16afad-fb5f-4e4a-82a5-b2cd4fa2a4c2, 73, 10354, No update data, 9g3qx92h7ym5
Bird, MEX, d444da05-24ab-400d-9fd9-3c7e35e92ec6, 80, 11523, No update data, 9g3qx92hejb6
Bird, MEX, 7efa313b-b2d4-428e-9c13-9a6b08b5e3d7, 100, 14863, No update data, 9g3qrr993gw8
Bird, MEX, beb97eb3-8b97-4d75-8a71-27c7a351191c, 100, 14863, No update data, 9g3qrr994s04
Bird, MEX, 997e7973-5a29-4db6-ac84-68aa930a99f9, 79, 11356, No update data, 9g3qx9115c85
