Bird, MEX, 269cbb70-879f-43cd-8b8c-c3e2c48e2814, 74, 10521, No update data, 9g3qx92294p7
Bird, MEX, 1238f8ef-6128-4980-87d0-24367a84886e, 51, 6320, No update data, 9g3qrrw9tnsw
Bird, MEX, f188dde1-1c1f-4b53-af55-44b27a4ebd3a, 90, 12482, No update data, 9g3qx3u054bk
Bird, MEX, 07ebbed8-7a8f-40c0-97a9-7fa18ba0e3a4, 73, 10354, No update data, 9g3qrrbhx8s0
Bird, MEX, 5abed53f-42b8-472d-ba12-f03a4ffbef6f, 58, 7849, No update data, 9g3qx90f7qgx
Bird, MEX, ec105cd1-d13a-4eac-b4cf-bced307c2d84, 90, 13193, No update data, 9g3qrrwfnque
Bird, MEX, 55db7436-5f4c-44e1-a64c-0f9922d54b76, 57, 7268, No update data, 9g3qrr7swqsq
Bird, MEX, 91cf59d6-14b0-4a46-8002-b820f5e53ca8, 57, 7268, No update data, 9g3qrrw8d26p
Bird, MEX, 4a9bc086-f67a-4b02-85b3-1709215d8d1b, 45, 5678, No update data, 9g3qx3epdqcb
Bird, MEX, d920e132-48df-4b91-bd57-9e613a20e995, 92, 13527, No update data, 9g3qx3x4mdn0
Bird, MEX, 4446693f-2397-4602-9e41-12a0524764f1, 89, 13026, No update data, 9g3qrr6tup7h
Bird, MEX, 408ec4ef-e333-458c-a83d-51e90914bebf, 100, 14062, No update data, 9g3qrr99khpu
Bird, MEX, ae646d82-5b06-43cc-bb29-b56c5edb0799, 97, 13588, No update data, 9g3qrr6tu6qj
Bird, MEX, b394db72-5ad6-439d-b1b7-b5c83fba87d6, 100, 14863, No update data, 9g3qrr995nb5
Bird, MEX, f7b2f5ce-eee6-4ebf-95fa-65c610118f3a, 60, 7742, No update data, 9g3qx0rpgwpy
Bird, MEX, 455ac0a8-2bc9-4c5d-aa17-f29889085d08, 94, 13861, No update data, 9g3qx92htp95
Bird, MEX, 20e7295e-8b68-4b15-8fc9-5302d90f52d1, 90, 13193, No update data, 9g3qrrmkpyx3
Bird, MEX, ca42c25e-84c7-42cd-9893-7ce09644b14b, 92, 13527, No update data, 9g3qrrmkpuzr
Bird, MEX, bf91f197-4e6b-47ad-bf1a-8111754725f6, 60, 8183, No update data, 9g3qx3x6c9ed
Bird, MEX, fb450ec4-b14a-41e9-b3f8-0ef4679f070a, 96, 13430, No update data, 9g3qrxb0r6ch
Bird, MEX, 8ec2068c-bc98-482c-b5fb-105085b934f1, 94, 13861, No update data, 9g3qrx8pytdc
