Bird, MEX, 9faddf4c-a5cd-47d4-9766-7ed40affa7c3, 93, 13694, No update data, 9g3qx230xes5
Bird, MEX, 5470d1c2-9e87-4469-800a-d2b3dc5abddf, 67, 9352, No update data, 9g3qx2z7jm6g
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 89, 12324, No update data, 9g3qrrynp4s0
Bird, MEX, 73746486-98eb-4052-ba41-d52b9ede2521, 60, 7742, No update data, 9g3qx23205mq
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 91, 13360, No update data, 9g3qx21mthue
Bird, MEX, 66dbe6e8-6ed7-46d9-a4b8-1a8f853c57ad, 91, 13360, No update data, 9g3qx21rb1jq
Bird, MEX, 1cfeb5da-f808-48fd-a090-adf05270c377, 92, 13527, No update data, 9g3qx230wnrm
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 85, 11692, No update data, 9g3qx28gmdmc
Bird, MEX, dca09cef-cf34-4fb2-b996-d842b8e83b8e, 89, 13026, No update data, 9g3qx230tysp
Bird, MEX, 5e7dd5f9-a8ac-4ce4-b82c-6c643967fc1e, 60, 8183, No update data, 9g3qx21pz3z4
Bird, MEX, 8aa45d2f-96a2-4917-8df2-b425bdb113dd, 92, 13527, No update data, 9g3qx21pxf46
Bird, MEX, 62d22fd8-7a6b-4028-b99c-f79ab4379a91, 56, 7515, No update data, 9g3qx2353d73
Bird, MEX, 982395b4-395e-4375-a321-4c510a3a2944, 80, 10902, No update data, 9g3qx28gv4kw
Bird, MEX, 2deda658-907a-4f15-ac75-31743fe2f233, 91, 13360, No update data, 9g3qx21mkjxy
Bird, MEX, 4a21459e-4651-4cb8-abac-ca0444649bb6, 73, 9796, No update data, 9g3qx21pyb8f
Bird, MEX, dab09651-3f72-457f-a8eb-c6c7d2914af3, 55, 7348, No update data, 9g3qx28ckz32
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 71, 10020, No update data, 9g3qx21pqv8y
Bird, MEX, 1d03b435-5234-4603-8eed-5e3f5c7a18d1, 91, 13360, No update data, 9g3qx2zmkrbj
Bird, MEX, 44bc8cfd-6369-4677-89a0-584144e5541c, 85, 11692, No update data, 9g3qx3nr5e30
Bird, MEX, b653854b-733e-4c4c-8e76-3b570ba90c22, 64, 8851, No update data, 9g3qx3p175ys
Bird, MEX, 0736a316-961b-48ca-a983-aab12362a9d5, 87, 12008, No update data, 9g3qx2ze8nje
Bird, MEX, f216f991-9be2-4743-987b-7c1ac14f9352, 80, 10902, No update data, 9g3qx230kj55
Bird, MEX, ceb60b2d-0911-4b72-8f83-82999d1023e9, 63, 8216, No update data, 9g3qx3748t0w
Bird, MEX, a688f574-3cc8-4a1c-b2d2-a0dd24f18974, 84, 11534, No update data, 9g3qx3nu8dxn
Bird, MEX, 11676849-fa45-46d7-b9c6-00b7af2a96f8, 89, 13026, No update data, 9g3qx2zkxqxr
