Bird, MEX, 7c0181d9-d157-4ceb-aea4-1e7064cc426e, 91, 13360, No update data, 9g3qx20js7w5
Bird, MEX, 04adfd4c-cb44-4a30-8441-1344c7477a6e, 91, 13360, No update data, 9g3qx203jt8u
Bird, MEX, 91453918-9081-44bc-9fbc-8149b9a9e8c3, 88, 12859, No update data, 9g3qx203kcxt
Bird, MEX, 25140f1f-106b-4ac1-9c24-383c0349c583, 93, 13694, No update data, 9g3qx202vrdz
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 75, 10688, No update data, 9g3qx20jhpfc
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 96, 14195, No update data, 9g3qx202w5x7
Bird, MEX, 81dd056b-72b2-4081-8ba0-4f6d752c0645, 88, 12859, No update data, 9g3qx202qgbe
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 92, 13527, No update data, 9g3qx20j7sc9
Bird, MEX, b80aaae5-94e7-4592-b87c-8780eb718089, 80, 11523, No update data, 9g3qrrwythue
Bird, MEX, 10d1ce59-d4b5-4257-8c3b-a1030d1e62ff, 52, 6847, No update data, 9g3qx20hs9kq
Bird, MEX, a83e31e1-4970-4fa9-b4d2-0720a5ed4d7f, 96, 14195, No update data, 9g3qx3e5ymk3
Bird, MEX, 786abcfe-46b9-4225-a741-6d73bc9fc925, 96, 14195, No update data, 9g3qx3ehp0kh
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 89, 13026, No update data, 9g3qrrbrgdry
Bird, MEX, ba3c36a0-2733-4cac-bf52-72101d2fd26f, 85, 12358, No update data, 9g3qrr9tp8sh
Bird, MEX, 555150d1-96e8-49a7-b12f-9771a82641da, 81, 11690, No update data, 9g3qx908ku1t
Bird, MEX, 7905135f-641f-4d24-8b55-e8533cd16bd4, 81, 11690, No update data, 9g3qx0zdm98y
