Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 62, 8517, No update data, 9g3qx2xxqtpe
Bird, MEX, b96e0327-1eda-40dc-8df5-616d5a0869b4, 100, 14062, No update data, 9g3qx3m7kycx
Bird, MEX, 4e1e5499-0d88-4599-b5c0-0bfd898545a6, 97, 13588, No update data, 9g3qx2306d21
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, f01b6072-8cec-4a8f-a633-844c23e827c2, 82, 11857, No update data, 9g3qx2zeczb8
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 31, 3340, No update data, 9g3qx218yj1p
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3m7ewry
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 96, 13430, No update data, 9g3qx21hz07b
Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 54, 6794, No update data, 9g3qx3medr1f
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31yvqpy
Bird, MEX, 8f131170-e4a6-4a11-804c-9c5ceefad428, 61, 7900, No update data, 9g3qrrv2zy6r
Bird, MEX, baab2632-4df5-42b7-be7a-feff70750bf0, 85, 11692, No update data, 9g3qx21hqy2f
Bird, MEX, 50b8ba47-732f-4d7a-bf7c-369e636aa2e0, 51, 6320, No update data, 9g3qx22tqb2w
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 93, 13694, No update data, 9g3qx21hkwuq
Bird, MEX, e8dc60fe-4f60-4ecf-a47d-aa6a5e96bf58, 43, 5344, No update data, 9g3qrrv8u551
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 96, 13430, No update data, 9g3qx215tfup
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 94, 13861, No update data, 9g3qx21hk07j
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 97, 13588, No update data, 9g3qx21hh7nh
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 76, 10855, No update data, 9g3qx3mskp71
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 89, 13026, No update data, 9g3qx2zsz231
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 29, 3006, No update data, 9g3qrrf6ehw3
Bird, MEX, 0a34d547-8ca3-43b2-a758-1d1843af36a2, 72, 10187, No update data, 9g3qx2zszu48
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 56, 7515, No update data, 9g3qrrf9hts7
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 98, 14529, No update data, 9g3qx3pd5t9v
Bird, MEX, 5e7d130a-4151-46d4-8783-0fb31f901903, 80, 10902, No update data, 9g3qx3657bub
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 84, 11534, No update data, 9g3qx3pdk6wk
Bird, MEX, 06fed0a0-de36-4f54-8d7a-1846e6a5be68, 60, 8183, No update data, 9g3qx2zzk1en
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 62, 8058, No update data, 9g3qx2zyqzvv
Bird, MEX, 6decf21c-bc58-4f07-82b6-2673eaecbcc8, 58, 7849, No update data, 9g3qx2zyrb6w
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 52, 6847, No update data, 9g3qx2zyx2z7
Bird, MEX, b700178c-f2ec-4999-a458-6375b87bedbb, 64, 8374, No update data, 9g3qrrsuh1gh
Bird, MEX, 0869efa2-2ef4-44ab-912b-8cb1ce496ff4, 18, 1169, No update data, 9g3qx8bn4mp1
Bird, MEX, ed962f08-bce0-4e03-9c47-70a44760abce, 78, 11189, No update data, 9g3qrrdr79xv
Bird, MEX, c93df7cb-a770-4628-b46d-71c77dea1c63, 90, 12482, No update data, 9g3qx8bnfmd4
Bird, MEX, 45221336-d81b-41e1-9373-7ee3ac5f4efb, 81, 11690, No update data, 9g3qx8bngcb5
Bird, MEX, 7017fcb3-6e54-4ccb-ac76-8c7c750f2216, 74, 10521, No update data, 9g3qx22ntpux
Bird, MEX, 359cc237-d2cc-4172-8088-5cafbb3c2fe1, 75, 10112, No update data, 9g3qx3dbq6uq
Bird, MEX, aae6452b-f630-47a5-891d-e52f1b56ec78, 90, 13193, No update data, 9g3qx20dtevv
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 88, 12859, No update data, 9g3qx2817hnm
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 73, 10354, No update data, 9g3qrrdtjuup
Bird, MEX, c4fcdaf3-d59f-467f-abb0-b191b2356f8f, 42, 4898, No update data, 9g3qrrz456e8
Bird, MEX, 0eee3ce1-4388-47da-87ec-91b246e64f11, 78, 11189, No update data, 9g3qx209g1y6
Bird, MEX, 582d3976-c8ff-4b46-a270-f5d77371a850, 27, 2672, No update data, 9g3qrrbz4s2h
Bird, MEX, 86873c1a-6f02-49a3-a037-703874bd466b, 51, 6320, No update data, 9g3qrrdnddm5
Bird, MEX, 41841e98-dd02-4244-9a70-f5c0a2dc348b, 90, 12482, No update data, 9g3qx20m5p80
Bird, MEX, 81dd056b-72b2-4081-8ba0-4f6d752c0645, 89, 13026, No update data, 9g3qx20d1kmh
Bird, MEX, aac7ea9c-f3a6-41f3-8bdc-55a514a56ba6, 93, 13694, No update data, 9g3qx20m9x53
Bird, MEX, 1f40a2ca-af10-433f-8b3e-f41958fc290d, 75, 10112, No update data, 9g3qx20m9egm
Bird, MEX, 521093e4-dc2d-40c1-b7ff-18f12d909e25, 76, 10855, No update data, 9g3qx20mbbgu
Bird, MEX, 25140f1f-106b-4ac1-9c24-383c0349c583, 94, 13861, No update data, 9g3qx2094xjj
Bird, MEX, 04adfd4c-cb44-4a30-8441-1344c7477a6e, 92, 13527, No update data, 9g3qx2094fe0
Bird, MEX, 71663621-dcf2-43c0-a038-20e1745ce557, 84, 12191, No update data, 9g3qx20m8dnf
Bird, MEX, 39a959c4-225f-4f51-9388-3851f92703fd, 93, 13694, No update data, 9g3qx20jzzdr
Bird, MEX, 84fa1fe7-5bed-4b58-85e8-897024785305, 82, 11218, No update data, 9g3qx20m2wqf
Bird, MEX, 568e6c03-cbc9-4fa5-9310-ff0afcbe0adf, 84, 11534, No update data, 9g3qx3026rcv
Bird, MEX, a96f6f78-c63e-4574-beed-4e618ea75ed8, 93, 13694, No update data, 9g3qx2093m2k
Bird, MEX, e16e80c6-4108-42cf-9d9f-c64e4fc0dea0, 97, 14362, No update data, 9g3qx209b0m2
Bird, MEX, 0f5ca52a-063f-43c2-ba3b-02ebc257d43a, 29, 3006, No update data, 9g3qx302dnhu
Bird, MEX, 40f3fe74-6fb4-4d3f-92ab-c086b6ca5a33, 94, 13861, No update data, 9g3qx20m24bm
