Bird, MEX, 048bd9dc-ee05-4385-9371-5148ac746a4f, 61, 8350, No update data, 9g3qx20w23et
Bird, MEX, 15888cee-feb1-4d23-877c-ba2ad07f9453, 87, 12692, No update data, 9g3qx20qrrzh
Bird, MEX, 706f83df-84a6-428f-8284-a03fabc1ab0c, 24, 2171, No update data, 9g3qx8bne5yw
Bird, MEX, 060a1109-f628-480e-a892-7364510575d8, 87, 12692, No update data, 9g3qx20qr6x5
Bird, MEX, e9018483-ac6b-4fa3-96a9-fe69d1047ac1, 75, 10688, No update data, 9g3qrrse29wv
Bird, MEX, 40d5396e-7a04-45fc-b827-b15ab0e1cc8f, 78, 10586, No update data, 9g3qx8bjtqdz
Bird, MEX, 4b226b8c-e3d4-41d1-aa03-55e681d91cd3, 67, 9352, No update data, 9g3qx2805x1w
Bird, MEX, b312c637-36e3-4eb8-b9aa-31ce85e701e5, 52, 6847, No update data, 9g3qrrdtn8ds
Bird, MEX, 156789c8-4180-4c89-be18-175a3afbdd32, 74, 9954, No update data, 9g3qx3dbzudm
Bird, MEX, c542a5cd-9359-4e20-abc1-4992be617b9c, 83, 12024, No update data, 9g3qrrs4x6cp
Bird, MEX, 51e10400-812e-4e1f-b780-88bd4dcf3b19, 56, 7515, No update data, 9g3qx3t41bnf
Bird, MEX, 6bc7ded6-a8dd-4804-922f-2e42816a91a9, 39, 4676, No update data, 9g3qrrz7c46q
Bird, MEX, 8c633f3b-7b62-401b-b626-61d5adaa7f9a, 67, 9352, No update data, 9g3qrrtvnbmf
Bird, MEX, 92768922-a6d6-4b1b-9cee-97eabf658834, 80, 10902, No update data, 9g3qrrt4y7ur
Bird, MEX, b750c547-c82f-4fae-a013-50b253171aa6, 82, 11857, No update data, 9g3qx822uvrb
Bird, MEX, 24899234-9dc6-4d23-99d5-99b624eddeb3, 74, 10521, No update data, 9g3qx823qj3m
Bird, MEX, ae2ce957-6794-45a2-bbc6-748cebef0186, 62, 8517, No update data, 9g3qx208q7u7
Bird, MEX, 32fccdc0-1a92-44b0-b9ea-8ad6f4a0f2cc, 84, 12191, No update data, 9g3qx20ke898
Bird, MEX, f617d67b-42ce-489c-96cd-e6b9e89abd4d, 73, 10354, No update data, 9g3qx88evjuu
Bird, MEX, 52bc7059-d61c-4869-891c-fc1d1dcc0871, 79, 11356, No update data, 9g3qx20m1kmh
Bird, MEX, 6b6e5802-5c48-4fc5-bd29-4a54741206a9, 85, 12358, No update data, 9g3qx20m29yz
Bird, MEX, a41aa352-87ac-4511-bae9-43a4b438e7a9, 85, 12358, No update data, 9g3qx20m0y7b
Bird, MEX, d6cc420c-06af-498c-9cd8-afe3ffe1a4c6, 27, 2672, No update data, 9g3qx20m2jmk
Bird, MEX, e7708e59-dcf0-4fca-a82d-e329404ff3d8, 87, 12692, No update data, 9g3qx203xdh1
Bird, MEX, 6d77df3c-6b74-4594-9a28-fcb65c3b72da, 94, 13114, No update data, 9g3qx20jprbc
Bird, MEX, 35c53774-0515-4367-a3d9-f70b406ad050, 89, 13026, No update data, 9g3qrrwwqrsd
