Bird, MEX, e719f9a5-3fda-4964-b6e8-c6b69f09f324, 100, 14863, No update data, 9g3qx90t1yqc
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 100, 14863, No update data, 9g3qx90semgd
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90t95zq
Bird, MEX, c1434cb1-8551-499e-ab1e-99204f6805ac, 100, 14863, No update data, 9g3qx90sk7bh
Bird, MEX, 12f22942-6388-4385-8307-5f63b4eccc74, 100, 14062, No update data, 9g3qx90shv3e
Bird, MEX, 2d8e803d-27e4-4d51-b2ee-7a081954ceac, 28, 2686, No update data, 9g3qx90f2snf
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 84, 12191, No update data, 9g3qx3srck27
Bird, MEX, cd75e715-2448-4b65-b214-2bb8c7fc8891, 100, 14863, No update data, 9g3qx3trn9p8
Bird, MEX, 64882091-c3da-4922-ab1c-005946c410c0, 49, 6346, No update data, 9g3qx3u0m2pv
Bird, MEX, 3ec7df91-9d64-45d0-b95d-37bd0a69d95b, 70, 9322, No update data, 9g3qx922km0h
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 46, 5530, No update data, 9g3qx80fe779
Bird, MEX, b356a606-0392-41bc-9c21-22b5c31d2268, 51, 6680, No update data, 9g3qx3epdvg6
Bird, MEX, d63a5384-6800-41a2-a928-ad2a392ba621, 100, 14863, No update data, 9g3qx90g5cj0
Bird, MEX, 46edcc60-cfe6-4333-a2e5-00320bff34b0, 49, 6346, No update data, 9g3qx3epdr9y
Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 100, 14062, No update data, 9g3qx90g5gjj
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 56, 7110, No update data, 9g3qrr97h4e0
Bird, MEX, 1aadf93f-3d89-4440-8157-1b0f962a2a1b, 72, 9638, No update data, 9g3qx3ep9rtq
Bird, MEX, d0a37f46-5dfb-47e6-a34f-595fffcaa269, 84, 12191, No update data, 9g3qx92h7ecu
Bird, MEX, eb089722-b0a7-414a-8185-4144ea7263e0, 84, 11534, No update data, 9g3qx92hhry7
Bird, MEX, e4a228a7-0632-4db2-a862-66f4707228bb, 31, 3340, No update data, 9g3qrrkupg6m
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 54, 7181, No update data, 9g3qrr6tdq3u
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 63, 8684, No update data, 9g3qx92hscrz
Bird, MEX, 0c52423a-a46f-4da3-9bf2-f222aa066682, 84, 12191, No update data, 9g3qrrmkpu43
Bird, MEX, 6b7d74e4-9c60-429a-a13f-fe187ca8c8ff, 84, 12191, No update data, 9g3qrrm7zpsn
Bird, MEX, 07f32d5a-8b03-4218-9b60-e5ebb5fee414, 90, 9322, No update data, 9g3qrrm7yw6w
Bird, MEX, 603a5bbc-b7ec-4195-8997-81f71a5bc1d2, 85, 12358, No update data, 9g3qrrmebdxp
Bird, MEX, c0562087-eaf1-4672-9c9f-f95647255dc5, 66, 9185, No update data, 9g3qrr988e8e
Bird, MEX, 81ff88c2-3c3a-4710-9b86-0798ac82fb5c, 87, 12008, No update data, 9g3qx0p8cg06
Bird, MEX, 0b98cad9-d526-43aa-8163-cf5119176ae0, 76, 10270, No update data, 9g3qrrkfek5w
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 66, 9185, No update data, 9g3qrr94h9k2
