Bird, MEX, b356a606-0392-41bc-9c21-22b5c31d2268, 49, 6346, No update data, 9g3qx3dzzwu5
Bird, MEX, d63a5384-6800-41a2-a928-ad2a392ba621, 100, 14863, No update data, 9g3qx90gmc7h
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 43, 5056, No update data, 9g3qrxbwrwh2
Bird, MEX, 6ac743a3-c57d-4c1d-af18-edb4505a323a, 100, 14062, No update data, 9g3qx90gpv6e
Bird, MEX, 603a5bbc-b7ec-4195-8997-81f71a5bc1d2, 84, 12191, No update data, 9g3qrrmknx4t
Bird, MEX, 0c52423a-a46f-4da3-9bf2-f222aa066682, 83, 12024, No update data, 9g3qrrmkpsup
Bird, MEX, 07f32d5a-8b03-4218-9b60-e5ebb5fee414, 89, 9204, No update data, 9g3qrrmkndpw
Bird, MEX, 6b7d74e4-9c60-429a-a13f-fe187ca8c8ff, 83, 12024, No update data, 9g3qrrmkp0sh
Bird, MEX, c0562087-eaf1-4672-9c9f-f95647255dc5, 66, 9185, No update data, 9g3qrr988y5f
Bird, MEX, 81ff88c2-3c3a-4710-9b86-0798ac82fb5c, 85, 11692, No update data, 9g3qx0p90mgw
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 65, 9018, No update data, 9g3qrr94k1gn
Bird, MEX, 0b98cad9-d526-43aa-8163-cf5119176ae0, 75, 10112, No update data, 9g3qrrkf7tpf
Bird, MEX, 1cce273a-ba00-4297-9805-7073ea67ada6, 67, 9352, No update data, 9g3qrrm6g42m
Bird, MEX, 1cb482fe-b69b-4dec-864b-bc5ad605045b, 44, 5214, No update data, 9g3qrx8rg5qe
Bird, MEX, 06c263a9-ec74-4d06-b21f-9a884a753846, 72, 10187, No update data, 9g3qx91j4tj3
Bird, MEX, 1cb71f53-0094-44d5-9add-9f4ca69eed90, 75, 10688, No update data, 9g3qx1rgt9vc
Bird, MEX, 4519a928-c732-4dbc-83a4-d3ff286c3b50, 100, 14863, No update data, 9g3qrpzqxkx1
Bird, MEX, c1e29dd6-5ad3-4029-8506-b56d423a077d, 98, 14529, No update data, 9g3qrpzrn8dm
