Bird, MEX, 1efcc4d8-b112-42e4-a6c9-8445a0a6a422, 89, 12324, No update data, 9g3qrkceezsc
Bird, MEX, afdb6ae6-57bc-4a2b-9ae2-f2cbd4e4df08, 96, 13430, No update data, 9g3qrm4x7ckb
Bird, MEX, 1a05c7bc-85b1-47d8-a9d7-7c09c151bef5, 94, 13861, No update data, 9g3qrm4xs07j
Bird, MEX, 471cdfda-76c5-4984-b14c-2b1821fe52a1, 97, 13588, No update data, 9g3qrm4xs684
Bird, MEX, cad44891-745e-4bac-be2f-0b23b26e747b, 63, 8684, No update data, 9g3qrm4xsxk2
Bird, MEX, 59e9da0f-8f97-4ada-b77f-bb1a39cf637c, 82, 11218, No update data, 9g3qrm1f5hym
Bird, MEX, 33bb3e40-73b0-45ca-96f7-1c9cf7cfe9a3, 96, 13430, No update data, 9g3qrkc6dvej
Bird, MEX, 4d93b6d9-ef39-40e0-a9c8-85eda69375bd, 100, 14863, No update data, 9g3qrkc6f4kg
Bird, MEX, 2e06d585-a3fa-4499-ad2a-1e17920e3c59, 98, 14529, No update data, 9g3qrkc6fphb
Bird, MEX, 1b8e53fa-edd8-488c-8c72-f0782412b568, 96, 13430, No update data, 9g3qrkc6cunw
Bird, MEX, fa564e5b-bd6b-4413-b8f5-4a52f0fdb436, 79, 10744, No update data, 9g3qrkc6c2jm
Bird, MEX, a7ccfc15-65b2-4eb4-8447-f94cd4adf829, 100, 14863, No update data, 9g3qrkc71cb3
Bird, MEX, 2be76e51-8f2d-4f79-90df-c7ad61867216, 100, 14062, No update data, 9g3qrkc6cq06
Bird, MEX, 33ea9b83-0c0e-4bda-81c4-af25eed3fbcc, 90, 12482, No update data, 9g3qrkc79ub2
Bird, MEX, 4f45d79b-2e81-4704-8e0c-491cb1a69059, 96, 13430, No update data, 9g3qrkc7000x
Bird, MEX, b90c1638-fa3f-4517-83e4-1a54102cea86, 88, 12166, No update data, 9g3qrkc72pjm
Bird, MEX, a55068d0-98e4-43c2-8020-d3f8b8f927a4, 100, 14062, No update data, 9g3qrm7rs1gp
Bird, MEX, f7074314-5738-4b9e-9368-45727b976b00, 74, 9954, No update data, 9g3qrkchnzjd
Bird, MEX, d31e1c2f-45c0-43e0-8732-4f6f3ee0d426, 64, 8374, No update data, 9g3qrm7pp9u4
Bird, MEX, 843087ca-7338-4d85-be2b-1e0a3091cda2, 100, 14062, No update data, 9g3qrm7rehb2
