Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 100, 14062, No update data, 9g3qx20974ym
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 90, 13193, No update data, 9g3qx303jjux
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 98, 14529, No update data, 9g3qx209dhsc
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 94, 13861, No update data, 9g3qx2096k3y
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 100, 14062, No update data, 9g3qx2094xv1
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 100, 14062, No update data, 9g3qx2094d80
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 94, 13861, No update data, 9g3qx20989nu
Bird, MEX, 1db95589-817c-4beb-a7ab-17a471e18bd4, 97, 14362, No update data, 9g3qx9021u8x
Bird, MEX, b3c0b887-3039-41af-90d0-4625064ae431, 96, 13430, No update data, 9g3qx20k1zb3
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 94, 13861, No update data, 9g3qx203xbd2
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 98, 14529, No update data, 9g3qx203ryfq
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 99, 13904, No update data, 9g3qx203x5eg
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 96, 14195, No update data, 9g3qx203wujx
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 96, 14195, No update data, 9g3qx206jsmu
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 93, 13694, No update data, 9g3qx203p72y
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 84, 11534, No update data, 9g3qx32byppk
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 98, 14529, No update data, 9g3qx203tnhe
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 98, 14529, No update data, 9g3qx202yy0t
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 62, 8058, No update data, 9g3qrrd7ee39
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 69, 9164, No update data, 9g3qx3rk1pf7
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 98, 14529, No update data, 9g3qx202tt2z
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 94, 13861, No update data, 9g3qx2037nwk
Bird, MEX, 308d7a87-8cef-4ce9-89e3-0b805283d056, 63, 8216, No update data, 9g3qrrwyw8z9
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 40, 4582, No update data, 9g3qx3ehphhh
Bird, MEX, e6f453ae-e896-4960-94b4-8d704cb7e810, 49, 6346, No update data, 9g3qx33zftm1
Bird, MEX, fce6c5f8-7b82-4b07-b6b8-a08f6cc706d8, 90, 12482, No update data, 9g3qrrwvyxxw
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 99, 13904, No update data, 9g3qx906uv38
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 51, 6680, No update data, 9g3qrrbreuug
Bird, MEX, f95e118a-4a69-44fa-b0af-b5b674c8bc3f, 98, 14529, No update data, 9g3qx8bxhyzu
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 99, 13904, No update data, 9g3qx907s6wq
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 89, 12324, No update data, 9g3qx32gtkr8
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx90db98c
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 97, 13588, No update data, 9g3qx907y7kt
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 99, 13904, No update data, 9g3qx90e25m8
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 98, 13746, No update data, 9g3qx90df7rj
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 100, 14062, No update data, 9g3qx90e626n
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 83, 11376, No update data, 9g3qx90e7c2h
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx90eg6g9
Bird, MEX, ca1a9933-e2e7-4663-b7ec-4a89856dd501, 89, 12324, No update data, 9g3qx0pfg0q2
Bird, MEX, 7938bcbf-3f99-4876-be5e-cfb6d0058966, 93, 12956, No update data, 9g3qx0pg4jkf
Bird, MEX, 11cf8d40-4742-40a9-b706-0da747d2365a, 100, 14863, No update data, 9g3qx0pg1vqd
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 48, 5846, No update data, 9g3qx808589v
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx90g01j8
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 96, 13430, No update data, 9g3qx90g12jd
Bird, MEX, a814b4ad-478a-4e68-8ecd-0305224552f4, 70, 9853, No update data, 9g3qrr9ddst0
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 100, 14863, No update data, 9g3qrr7ubg7g
Bird, MEX, 1fb765c1-6511-452e-90b7-b861e067de30, 100, 14863, No update data, 9g3qx0pet92y
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 98, 13746, No update data, 9g3qx90g4n7c
Bird, MEX, cc247f4d-4cf9-40e3-8069-ca1c1e7af023, 99, 13904, No update data, 9g3qx90ffu53
Bird, MEX, b72d47b9-59c5-454f-ac00-20664003473f, 42, 5177, No update data, 9g3qx8c4ytdf
Bird, MEX, bf5b53f3-a0b6-40c9-82c1-262c30904b33, 96, 13430, No update data, 9g3qx0pc3pfh
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 98, 13746, No update data, 9g3qx90cnt4c
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 100, 14062, No update data, 9g3qrr7swefs
Bird, MEX, 9e64049f-8a2a-455f-8b8a-5dd10085cf59, 99, 14696, No update data, 9g3qx0pdqdfm
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 97, 13588, No update data, 9g3qx90fggtp
Bird, MEX, 5c2c60fb-0604-4866-90ef-f977d73a7cca, 79, 10744, No update data, 9g3qx90cqwrg
Bird, MEX, 8503c02f-45fd-4e79-8484-13c2a81e0f8c, 100, 14062, No update data, 9g3qx90bzwu6
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 100, 14062, No update data, 9g3qx90cpkxr
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 65, 8532, No update data, 9g3qx836btx4
Bird, MEX, 925c6bf7-c628-4957-af54-eeb6cd8ee021, 100, 14863, No update data, 9g3qx0p9yn3p
