Bird, MEX, acb72495-837a-4590-93c2-3be5d54a5dda, 91, 13360, No update data, 9g3qx239275x
Bird, MEX, 6f961793-dfa1-41bb-9acf-4c85c6874784, 96, 13430, No update data, 9g3qx233rpef
Bird, MEX, 7d204c1d-ab3d-449c-8619-285679ce15e2, 99, 13904, No update data, 9g3qx2yzcpf2
Bird, MEX, cbe17d51-31ab-4aa5-bba7-35074971a457, 84, 12191, No update data, 9g3qx233wgbv
Bird, MEX, a630707b-eb33-4689-a62e-159595cb299d, 55, 7348, No update data, 9g3qx233y1z6
Bird, MEX, 911e1f28-0317-4209-a629-28de638e2000, 55, 6952, No update data, 9g3qx23885bt
Bird, MEX, 1437ffdf-27d5-4bbc-9b19-d9db89d21270, 98, 13746, No update data, 9g3qx2z4tv5n
Bird, MEX, 8318cad4-5af6-46ea-a25d-88b5393f0516, 70, 9853, No update data, 9g3qx233wh91
Bird, MEX, ffbe2be1-7255-4f38-8ca2-65a956a245e9, 52, 6478, No update data, 9g3qx233q9dt
Bird, MEX, d2e665ee-e1b6-4fb3-bfe2-3facd4e7f588, 47, 6012, No update data, 9g3qx233nxd8
Bird, MEX, 37d836aa-f449-4252-a701-725849789c72, 57, 7682, No update data, 9g3qx2yzgg05
Bird, MEX, 793755ef-d92e-4edf-847e-ac6a67ee925c, 96, 13430, No update data, 9g3qx2z4zjuh
Bird, MEX, f24df0e6-f155-4c23-a342-7d136a7ffede, 67, 8848, No update data, 9g3qx3nbd24p
Bird, MEX, a3d23b7e-90ea-4377-8b6f-e946a9d30d42, 74, 10521, No update data, 9g3qx2yzv2rc
Bird, MEX, 69ba4f0f-2047-4769-ba41-bdb24a8ddce8, 94, 13861, No update data, 9g3qx3m1qj1k
Bird, MEX, ddd327f8-abc8-44c8-b1e1-fa8a772368f1, 93, 13694, No update data, 9g3qx294s17n
Bird, MEX, 41ebf7cc-e421-4243-99f1-8a33edc7bb43, 99, 13904, No update data, 9g3qx3m1w1z3
Bird, MEX, 2e65fb24-4470-4ab5-9f44-e3817e41b7ee, 97, 14362, No update data, 9g3qx3m1w9f9
Bird, MEX, 75b3e13f-1c08-472b-96b5-07763bc3b599, 83, 11376, No update data, 9g3qx29175nr
Bird, MEX, 0898457d-6c07-49ce-bbc3-0a101e078f0f, 35, 4008, No update data, 9g3qx31gppqp
Bird, MEX, c0ffc683-70aa-4e6e-88fa-bbd6c919d43e, 61, 8350, No update data, 9g3qx294c30r
Bird, MEX, 463fbfec-c83a-4593-a030-20c125df1f5f, 98, 13746, No update data, 9g3qx294cqb6
Bird, MEX, 0b5e2905-ce2c-46d1-8010-5b5f23f7e487, 90, 13193, No update data, 9g3qx294bewy
Bird, MEX, 1b150f3c-a6f3-4f89-998e-4636d7814d3e, 89, 13026, No update data, 9g3qx294bjbs
Bird, MEX, 03e18611-207f-4ffe-813a-dbe461066000, 33, 3674, No update data, 9g3qx21f3327
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 51, 6680, No update data, 9g3qx2xd7j07
Bird, MEX, 511f5f15-ec98-4c5b-894f-b296d674bd27, 98, 13746, No update data, 9g3qx2zpfve6
Bird, MEX, aeff1c5d-3f89-49d9-a258-0f6a8edd86fa, 74, 9954, No update data, 9g3qx28gp45z
Bird, MEX, b165a585-34ef-49ee-9a32-6246522edc71, 97, 13588, No update data, 9g3qx2zpj2pf
Bird, MEX, c89e2458-487a-45c4-af35-80e7f1325411, 33, 3674, No update data, 9g3qx231tdvz
Bird, MEX, f329af01-98b4-4be2-80cc-02410e17ce51, 39, 4424, No update data, 9g3qx21mq4r3
Bird, MEX, 2ecd13ae-57a3-4c6a-9f9c-926263a4652d, 76, 10270, No update data, 9g3qx3nez5h5
Bird, MEX, c1ed9555-d7ce-4c0a-8d50-dcaccdcc6a96, 92, 12798, No update data, 9g3qx2zpmu7p
Bird, MEX, c42b12d0-d825-46fb-b7b8-5e7e3e40b045, 96, 13430, No update data, 9g3qx230vvs1
Bird, MEX, d563e036-909c-43dc-9f63-a2d57f8b4ab2, 94, 13861, No update data, 9g3qx21mknrf
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 45, 5678, No update data, 9g3qx231g1nq
Bird, MEX, 426af09a-5a06-4a69-8f6c-41e3d6c27601, 97, 13588, No update data, 9g3qx23417jk
Bird, MEX, f0508f32-3439-45d8-9ad6-c136bca1de5e, 93, 12956, No update data, 9g3qx22fxwkj
Bird, MEX, f4cc32c2-fa44-4d7b-b3ce-cc7a907caf84, 91, 13360, No update data, 9g3qx2zs25ve
