Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 93, 13694, No update data, 9g3qx20en09j
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 94, 13861, No update data, 9g3qx20qpm0b
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 99, 13904, No update data, 9g3qx20dy2k2
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 96, 14195, No update data, 9g3qx20em0kt
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 98, 13746, No update data, 9g3qx20ehzz9
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 98, 13746, No update data, 9g3qx20es1pu
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 92, 13527, No update data, 9g3qx20dvhh8
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 92, 13527, No update data, 9g3qx20e7wrf
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 97, 14362, No update data, 9g3qx20eh7qn
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 96, 14195, No update data, 9g3qx20dujfg
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 97, 14362, No update data, 9g3qx20dkupt
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 100, 14062, No update data, 9g3qx20d73st
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 89, 13026, No update data, 9g3qx302ycbe
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 69, 9164, No update data, 9g3qx3r4nmke
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 97, 13588, No update data, 9g3qx8bpwnrw
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 93, 13694, No update data, 9g3qx20d51q3
Bird, MEX, 30b86e43-c8a7-4bfa-bf10-588a81a365d1, 98, 13746, No update data, 9g3qx8bpzeh7
Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 81, 11690, No update data, 9g3qx8br8htd
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 94, 13114, No update data, 9g3qx8br16jr
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 98, 13746, No update data, 9g3qx902082u
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 39, 4676, No update data, 9g3qx2bnybte
Bird, MEX, f5b148fc-11ff-48a7-99fc-c6c63a8b44d3, 98, 13746, No update data, 9g3qx20m0xwb
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 84, 12191, No update data, 9g3qx902185d
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 92, 13527, No update data, 9g3qx90236tk
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 98, 13746, No update data, 9g3qx902c2t7
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 97, 14362, No update data, 9g3qx8brew9z
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 97, 13588, No update data, 9g3qx8brex9v
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 99, 13904, No update data, 9g3qx8brgcjp
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 98, 13746, No update data, 9g3qx9031pz6
