Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 97, 14362, No update data, 9g3qx20dtcu0
Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 93, 13694, No update data, 9g3qx8bph681
Bird, MEX, d937a8bd-0600-4333-8493-d8637b1848f2, 84, 12191, No update data, 9g3qx8bnuc99
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 97, 14362, No update data, 9g3qx20dq4r3
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 92, 13527, No update data, 9g3qx20dmx2b
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 94, 13861, No update data, 9g3qx20dmfk1
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 99, 13904, No update data, 9g3qx20djgkn
Bird, MEX, 14970e6e-e013-4590-8f71-9214ea2f37c0, 97, 13588, No update data, 9g3qx8bny193
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 93, 13694, No update data, 9g3qx20dkf33
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 82, 11857, No update data, 9g3qx20qh7qn
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 93, 13694, No update data, 9g3qx209vpkt
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 98, 13746, No update data, 9g3qx209ubck
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 100, 14062, No update data, 9g3qx20ddnkv
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 81, 11690, No update data, 9g3qx20q508j
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 89, 13026, No update data, 9g3qx303pj7g
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 92, 13527, No update data, 9g3qx209gchy
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 92, 13527, No update data, 9g3qx20d1877
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 97, 14362, No update data, 9g3qx2096xbh
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 93, 13694, No update data, 9g3qx2096kcb
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 98, 13746, No update data, 9g3qx20d0e2w
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 39, 4676, No update data, 9g3qx2bnxkr0
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 93, 13694, No update data, 9g3qx20m3kb3
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 94, 13861, No update data, 9g3qx20m2qes
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 97, 14362, No update data, 9g3qx2091gns
Bird, MEX, e7c48c3f-4dc1-422f-9486-9c4f83025dbf, 100, 14062, No update data, 9g3qx20917v0
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 91, 13360, No update data, 9g3qx20m0htq
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 97, 14362, No update data, 9g3qx209227t
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 69, 9164, No update data, 9g3qx3r74926
