Bird, MEX, 39809edf-8d8c-4cf9-abdb-5c9f19b5c48a, 55, 6952, No update data, 9g3qx3mdfjeg
Bird, MEX, 42865ed9-bfba-4880-88a7-4bf1e0c3ba9f, 93, 13694, No update data, 9g3qx3m7qdds
Bird, MEX, e65bd957-cef3-42fb-a6f8-d30953fd8793, 100, 14062, No update data, 9g3qx3m7s8g7
Bird, MEX, 729d35bf-6723-4162-b83b-f33d3de30b12, 64, 8851, No update data, 9g3qx2xxx1hh
Bird, MEX, 24feb8fa-dcc9-4c1e-9739-989a29c5130d, 93, 13694, No update data, 9g3qx2zs1rv6
Bird, MEX, ddd327f8-abc8-44c8-b1e1-fa8a772368f1, 94, 13861, No update data, 9g3qx28g354p
Bird, MEX, f4cc32c2-fa44-4d7b-b3ce-cc7a907caf84, 91, 13360, No update data, 9g3qx2zs9ubs
Bird, MEX, a02efcf0-fc53-4f4d-8aa5-5c1ee4ec80cc, 96, 14195, No update data, 9g3qx21jtvu1
Bird, MEX, b65804ec-46ae-47f3-bfd1-a890295b5f9e, 100, 14062, No update data, 9g3qx3mk4s05
Bird, MEX, 7aed04a9-4909-4bd2-a5dc-dc9397b66361, 40, 4582, No update data, 9g3qx2z9rzx7
Bird, MEX, fb52da94-f44b-458a-8632-187ccdb61cfa, 90, 13193, No update data, 9g3qx2zsu0e5
Bird, MEX, de2944d3-94f9-4107-af70-1ee60190e231, 97, 13588, No update data, 9g3qx21hqefe
Bird, MEX, 3f085527-7040-43a2-881b-f4bbaa1c28e4, 97, 13588, No update data, 9g3qx21hurwp
Bird, MEX, 85218d49-6f05-4e7b-a307-cf9d7ceed076, 47, 5688, No update data, 9g3qx31zhvxt
Bird, MEX, 9dd2950e-bd9c-442e-b074-2eb8848634e0, 78, 11189, No update data, 9g3qx3ms552r
Bird, MEX, 61878a4d-6e9f-4315-a33f-d85be43f0544, 45, 5372, No update data, 9g3qx2xgjkxy
Bird, MEX, c75ea55e-31b7-42e1-8d7e-37ca7b941116, 97, 14362, No update data, 9g3qx215ttmz
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 99, 13904, No update data, 9g3qx21j3q8k
Bird, MEX, 93ccd576-eaae-4e55-9daa-d3652f5db242, 31, 3340, No update data, 9g3qrrf6fe04
Bird, MEX, 5f7c89ea-5d6b-4c48-b6ca-d687f930ea53, 58, 7849, No update data, 9g3qrrf971br
Bird, MEX, 3f30d8c9-69b7-478c-a540-a10464cfbe1e, 85, 11692, No update data, 9g3qx3p9u3w3
Bird, MEX, c5956a6a-cf33-4a50-9805-a815fd46f063, 100, 14863, No update data, 9g3qx3pdf64j
Bird, MEX, 29c8c95c-0b4e-4798-9860-ec0efff74898, 63, 8216, No update data, 9g3qx2zyn1p8
Bird, MEX, f9b420fa-60ed-4d20-8944-1c5c3b8abcd7, 100, 14863, No update data, 9g3qx3pdkt7m
Bird, MEX, b0d54c9f-a0e5-4398-a900-7abbd4021438, 54, 7181, No update data, 9g3qx2zyntdv
