Bird, MEX, 035addac-1f1c-42a3-bf22-d2af68fc6032, 99, 13904, No update data, 9g3qrmc9nct8
Bird, MEX, 6137e6f0-1f6b-40fe-8e79-7b2b3c5ca16b, 100, 14062, No update data, 9g3qrmc8yz0c
Bird, MEX, 71555ae0-7c24-44e4-934d-b196a7b199e7, 83, 11376, No update data, 9g3qrjrmjfkn
Bird, MEX, 7dd98ff5-1cdd-4e0d-ab6b-c7d63250b65c, 100, 14863, No update data, 9g3qrmc8yc0u
Bird, MEX, ce9c9e88-29db-4ea7-909f-4e240580ff64, 97, 14362, No update data, 9g3qrmc8z0gf
Bird, MEX, 952eb472-e465-44b0-b521-10d99ac12b5a, 100, 14062, No update data, 9g3qrq402w8d
Bird, MEX, 925c6bf7-c628-4957-af54-eeb6cd8ee021, 100, 14863, No update data, 9g3qrq402tbw
Bird, MEX, 5f1a3923-fd37-49e2-89ab-06edd06985b9, 100, 14863, No update data, 9g3qrq403p4n
Bird, MEX, 9f1b065e-3c51-4d61-a3a9-0794da215166, 100, 14062, No update data, 9g3qrq406801
Bird, MEX, 4b3ad5bf-564e-492f-979a-7286f89b6f18, 100, 14062, No update data, 9g3qrq405n0n
Bird, MEX, 96fd2625-85e9-4af6-849f-4484e7ce95f7, 99, 13904, No update data, 9g3qrm9380tr
Bird, MEX, d3264d11-7670-42a9-a019-c24c189ff611, 100, 14062, No update data, 9g3qrm9382ex
Bird, MEX, 749a2ff8-0eb2-4e53-87f8-c4bac3c4f576, 100, 14863, No update data, 9g3qrm932htq
Bird, MEX, e92f9955-c000-4696-8e8c-d7d85d184a8d, 99, 14696, No update data, 9g3qrm93252w
Bird, MEX, 8b3025fe-8fe9-4147-82bf-552649659238, 100, 14863, No update data, 9g3qrm932yef
Bird, MEX, 9be9aedc-5077-4337-9b45-c84c5a53e4ce, 65, 8532, No update data, 9g3qrjr6ys4r
Bird, MEX, 5b01e6ac-57cf-4b5a-b862-1791418fb387, 78, 10586, No update data, 9g3qrnh02jvq
Bird, MEX, e959d710-cddc-44cc-8873-8e3f80f56718, 83, 11376, No update data, 9g3qrm24cq8q
Bird, MEX, fe9ce2e3-44f0-475f-b023-e17c5a6a0582, 81, 11060, No update data, 9g3qrm24cunx
Bird, MEX, 10f987de-cd02-40c6-93cd-1cbac04e129c, 91, 12640, No update data, 9g3qrjq5p0ef
Bird, MEX, 49bf7be6-8ec3-4699-9ee0-93a441712d18, 87, 12008, No update data, 9g3qrm2ew431
Bird, MEX, 3a117581-5129-4dd7-99fc-82c24d28913d, 100, 14062, No update data, 9g3qrm9fevhf
Bird, MEX, c532dd7d-b885-4063-9a74-e2248b973b1e, 100, 14863, No update data, 9g3qrm9fu9sr
Bird, MEX, 23241c65-d956-44f7-a2b6-5797da3274c9, 100, 14062, No update data, 9g3qrm9fs6bj
Bird, MEX, b6d48655-113a-4fe3-836d-8f1b0f48cc23, 100, 14062, No update data, 9g3qrm9fs9sm
Bird, MEX, d2c55b4d-606f-4178-b9c6-8e87c01a8f44, 100, 14062, No update data, 9g3qrm9fs9k7
Bird, MEX, bd27c487-031a-4170-8777-a9ce1e56b90a, 63, 8216, No update data, 9g3qrjnxnqu3
Bird, MEX, b2f66f39-bab5-4a77-83b6-1ced403036a7, 48, 5846, No update data, 9g3qrm2bex9d
Bird, MEX, 4d5bcbbb-34c6-4efd-8f41-60208765087f, 99, 13904, No update data, 9g3qrmd33tgw
Bird, MEX, cb0a99dd-92a8-48a9-b2f5-fea4c8fbeff6, 100, 14062, No update data, 9g3qrmd28vey
Bird, MEX, c31bee0a-f615-4d39-98e3-052b5398444a, 51, 6680, No update data, 9g3qrjphfr3f
Bird, MEX, c4cda3e9-2622-432d-8ba7-2b168704e825, 100, 14863, No update data, 9g3qrmd2cvqx
Bird, MEX, 0b5ed465-0d67-4ddc-9a2f-254998b5e699, 100, 14062, No update data, 9g3qrm36qtde
Bird, MEX, 26dbf510-8bff-4540-b7d8-6fbed385c205, 100, 14062, No update data, 9g3qrm36qkh6
Bird, MEX, 95da4ad1-8339-4661-aad1-20a437f9b28f, 85, 11692, No update data, 9g3qrjnjxp7b
Bird, MEX, 63b2791f-ec0a-4936-8210-5a7a1862b646, 100, 14062, No update data, 9g3qrm36nrkm
Bird, MEX, 248f53fe-fa68-454d-a339-8bfba5df96c8, 99, 13904, No update data, 9g3qrm36qcm8
Bird, MEX, c05509eb-7a33-40bb-bffe-4f2d566ef8df, 99, 14696, No update data, 9g3qrm36rskh
Bird, MEX, 9d020bca-f50e-4f96-832c-78ac67175613, 100, 14062, No update data, 9g3qrm36r7rn
Bird, MEX, aba6c0de-f220-4f71-bc2f-fc632c88f659, 91, 13360, No update data, 9g3qrmd3hj5p
Bird, MEX, 4e40bd37-ed1b-4a7b-bc67-78a44871fb65, 100, 14863, No update data, 9g3qrmd359xb
Bird, MEX, 7867c507-5041-4675-a9b1-bd50db64fb08, 100, 14863, No update data, 9g3qrm36r9uh
Bird, MEX, 49a8c000-37a6-4dc1-a106-f4f560a46c67, 100, 14062, No update data, 9g3qrm36pp5g
Bird, MEX, 1a196e3e-6c4c-4d1b-a703-9f49b404f41e, 100, 14863, No update data, 9g3qrm36pxsp
Bird, MEX, fdb98c72-4de2-4bec-85d8-01b148b91fdb, 79, 10744, No update data, 9g3qrmd9v76c
Bird, MEX, 08e7cbbd-b194-435c-8c55-746affa2b550, 76, 10270, No update data, 9g3qrm38cb0m
Bird, MEX, 05708ec8-7f3e-4fb2-b5e9-79b46ef933e7, 53, 6636, No update data, 9g3qrm1r60uy
Bird, MEX, eddc3d62-1f8f-448b-8559-04768146c6fb, 100, 14062, No update data, 9g3qrmen7nw6
Bird, MEX, 0b55ad37-e096-43e5-980c-15afc24e8b48, 98, 13746, No update data, 9g3qrmen7hwq
Bird, MEX, 413e25c5-27d6-4460-bf10-5c282962338d, 100, 14062, No update data, 9g3qrmen7ksw
