Bird, MEX, df0bea3b-de96-459e-9be4-2cd6115b4a4f, 60, 8183, No update data, 9g3qx3ufhmwq
Bird, MEX, e26c615d-d329-47e8-b1f0-73de7cb92643, 45, 5678, No update data, 9g3qrr945xpv
Bird, MEX, 8dce9f6e-c2da-435d-acaa-ff78712c65a3, 63, 8216, No update data, 9g3qx3uft66v
Bird, MEX, fa0264ac-3221-4ece-8f5f-7d3a90abdaf0, 100, 14863, No update data, 9g3qx0p2n0zr
Bird, MEX, 3defaae1-756f-41c0-9db4-82f7df6628cf, 84, 11534, No update data, 9g3qx89ezxkm
Bird, MEX, 0e388a23-4e07-4292-a728-6a7fc8b4cb1e, 96, 14195, No update data, 9g3qx0p2erh8
Bird, MEX, 20866095-aa67-4e40-a253-bc68c2f01f1d, 100, 14863, No update data, 9g3qrpzrq4r3
Bird, MEX, 045605d6-92b1-434f-a6b0-09e19313ca7b, 100, 14863, No update data, 9g3qx0p2ej2p
Bird, MEX, f0df3efd-df6b-40fa-8510-e4462fa613bb, 100, 14863, No update data, 9g3qx0p25vuw
Bird, MEX, 44879c60-713e-4dec-a2cd-5109c1d27414, 100, 14863, No update data, 9g3qrpztb88d
Bird, MEX, 6adce649-8d2c-42ae-a4a3-17b0d252abe0, 100, 14863, No update data, 9g3qrpztb3gd
Bird, MEX, 95ff40c2-1f97-4888-b032-0552d70eca76, 99, 14696, No update data, 9g3qrpzrkc9m
Bird, MEX, ae0bb54a-b82e-453f-9e26-d57fdd783a61, 100, 14863, No update data, 9g3qrpzrk9sm
Bird, MEX, 04a6f288-0cd2-4b54-9783-1cd5a35802ec, 97, 14362, No update data, 9g3qrpzrkpfu
Bird, MEX, 9beb54f6-e5e4-4cc4-a3ef-381bcc3c9e19, 98, 13746, No update data, 9g3qrpzqvnu9
Bird, MEX, 9a80fd39-c7bc-48f0-ba48-158adfce67ec, 98, 14529, No update data, 9g3qrpzrk2qj
Bird, MEX, 3db9e557-6ee0-4d83-ad2f-f988b8d24e19, 100, 14062, No update data, 9g3qrpzqv2dd
Bird, MEX, 98ec3dc2-7605-4264-bf26-e36dcc3285c7, 100, 14863, No update data, 9g3qrpzr781e
Bird, MEX, 9c23dcac-0023-4755-9d0e-33e22b95b3bc, 64, 8851, No update data, 9g3qx0qub279
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 100, 14062, No update data, 9g3qrpzr99er
Bird, MEX, cebcc058-c198-4b24-a30e-416f0a237f8d, 100, 14863, No update data, 9g3qrpzqh7nh
Bird, MEX, 6d001d79-821d-469c-903a-548e0f8de908, 58, 7849, No update data, 9g3qrrk21545
Bird, MEX, 8b88c859-18dd-4e4a-906d-54b8eecf17bb, 100, 14863, No update data, 9g3qrpzkwut9
Bird, MEX, 53fa1d4d-1f37-404f-8cb0-dab509a69fa7, 63, 8216, No update data, 9g3qx8cg3yyz
Bird, MEX, 2f081237-27fc-4683-bd36-15e86c14e4d8, 84, 12191, No update data, 9g3qrr5zmxw1
Bird, MEX, 52a38e84-36f3-4a3f-819c-7015e9f2e054, 63, 8216, No update data, 9g3qx8dm24vv
Bird, MEX, cd6455e4-32ef-4c8d-83bc-1c83e97b2edb, 54, 7181, No update data, 9g3qrpxv008k
Bird, MEX, bf1eae5e-8e66-4d41-9c03-1242af520dce, 100, 14863, No update data, 9g3qrr5j8p2d
Bird, MEX, 124aedcd-59a1-44cd-8ff0-1c0bcdc8b65a, 46, 5845, No update data, 9g3qx658pps1
Bird, MEX, fa2dc693-1248-4bcc-a77c-11e29b10c73a, 88, 12166, No update data, 9g3qrpyz0cm0
Bird, MEX, 11076784-bad0-43d9-8cee-bc627650d4e4, 100, 14062, No update data, 9g3qrr4vxj7y
Bird, MEX, 0185de75-6f72-4a1e-a7e9-697ed31ecb2a, 87, 12008, No update data, 9g3qrpyxrydh
Bird, MEX, a78d033e-c1d4-4d19-a19b-fb48438cd779, 100, 14863, No update data, 9g3qrr5j80b9
