Bird, MEX, 7dfac7ef-6e1b-4173-b7b6-c9dee25a343a, 76, 10855, No update data, 9g3qx8bpgn82
Bird, MEX, f4cd312d-b1ab-4ccc-840f-b064e4d82842, 62, 8517, No update data, 9g3qx8bk1t7e
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 93, 13694, No update data, 9g3qx20s80t2
Bird, MEX, f584a99d-3f6e-4010-a2db-422889a09cb3, 93, 12956, No update data, 9g3qx20kxxk5
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 91, 13360, No update data, 9g3qx20s08qg
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 90, 13193, No update data, 9g3qx20ebm5x
Bird, MEX, 594557b2-0a49-4271-b3ef-77ec6e7b8935, 67, 8848, No update data, 9g3qx8bnrvdx
Bird, MEX, d7ccf8c6-0a0e-4aba-bbf0-717c1cf8f6b7, 85, 12358, No update data, 9g3qx303phez
Bird, MEX, 05657a08-52fb-4b54-9e31-d3cf41b3234c, 92, 12798, No update data, 9g3qx8br2fh0
Bird, MEX, c645c1cc-881f-4034-9678-b3fdb6020131, 91, 13360, No update data, 9g3qx20m4qcu
Bird, MEX, b6e0b502-f16a-4d1d-ada5-2025d875c867, 53, 6636, No update data, 9g3qrrzty4rw
Bird, MEX, 1ed11453-2cc0-42fc-bf83-b1634471d7a3, 49, 6004, No update data, 9g3qrrzwpbdt
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 88, 12859, No update data, 9g3qx20m0t8s
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 66, 8690, No update data, 9g3qx3r70dbu
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 92, 13527, No update data, 9g3qx2090v7f
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 89, 13026, No update data, 9g3qx209275x
Bird, MEX, 673ea75d-7b40-4a32-91d5-e5fb458a7fdc, 89, 13026, No update data, 9g3qx208cq2r
Bird, MEX, 8ffa5a2d-e96a-4487-9532-78c71bf15584, 43, 5056, No update data, 9g3qrre98y7u
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 90, 13193, No update data, 9g3qx203yfv8
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 92, 13527, No update data, 9g3qx203rq8u
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 90, 13193, No update data, 9g3qx20jpn7b
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 89, 13026, No update data, 9g3qx203pvfq
Bird, MEX, 68c1c7fb-9e43-44bf-8ae8-8901c2c758da, 88, 12859, No update data, 9g3qx208bnv3
Bird, MEX, 256bc330-0080-4f09-a607-3a84f44f99bf, 81, 11060, No update data, 9g3qx32byvm9
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 92, 13527, No update data, 9g3qx2088d2e
Bird, MEX, a0d7e56b-e3fb-4e4b-8e9e-1d6077a08da3, 75, 10112, No update data, 9g3qrre92h2w
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 90, 13193, No update data, 9g3qx202xv6r
Bird, MEX, 1761c249-cf5e-451f-96cb-2409fdebb239, 75, 10688, No update data, 9g3qx20hwfme
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 30, 3002, No update data, 9g3qrrzytxq4
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 61, 7900, No update data, 9g3qrrd7gtzg
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 93, 13694, No update data, 9g3qrrbxbtnz
Bird, MEX, 85c77e5d-7ca2-4acc-851f-01e834bf76a7, 39, 4424, No update data, 9g3qx3e5xkzh
Bird, MEX, 32a41fc6-df80-438c-a835-641ac4218c08, 96, 13430, No update data, 9g3qrrzsrm14
Bird, MEX, 433f15e6-9729-48a5-a298-6f56136c75f2, 27, 2672, No update data, 9g3qrrzsp7pk
Bird, MEX, 674cb033-e034-4a31-ad45-c42915b47412, 21, 1670, No update data, 9g3qx33zew1s
Bird, MEX, 7bd29338-131e-4a47-9758-f99065e6d4fb, 87, 12008, No update data, 9g3qrrc1fjsc
Bird, MEX, 159caea9-9890-4349-967b-e9a9acedd927, 46, 5845, No update data, 9g3qrrbw93tp
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 97, 13588, No update data, 9g3qx9076ngz
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 97, 13588, No update data, 9g3qx90hxkch
Bird, MEX, 89826cf6-09de-4f2f-9254-8a92b0340d55, 76, 10270, No update data, 9g3qrrc0wtf8
Bird, MEX, be022154-ebb0-4f39-a9f4-cb461355fda6, 69, 9686, No update data, 9g3qrrc0qy8u
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 81, 11060, No update data, 9g3qx9075vj1
Bird, MEX, 21fb9d79-bce4-4b19-8b49-5d9d7f29886b, 96, 13430, No update data, 9g3qx9077d1b
Bird, MEX, d535200e-e99c-4e75-b172-39780e734cfc, 93, 13694, No update data, 9g3qx90k1x57
Bird, MEX, 2e335fe6-bee6-4ac2-a573-4c766a07087c, 87, 12692, No update data, 9g3qx3tezekj
Bird, MEX, 8b644847-990a-400c-95bc-76e173197602, 90, 12482, No update data, 9g3qrrc0nyjx
Bird, MEX, 85b5ec15-83dd-4362-905a-9b4396583619, 96, 13430, No update data, 9g3qx90k464p
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 80, 10902, No update data, 9g3qrr9teysy
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 69, 9686, No update data, 9g3qx3tgfjgv
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx907u2ym
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 96, 13430, No update data, 9g3qx90khb9w
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 93, 12956, No update data, 9g3qx90d2vh5
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 96, 13430, No update data, 9g3qx90e24zj
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 87, 12008, No update data, 9g3qx32gu1xc
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 47, 5688, No update data, 9g3qrxbrjvgn
Bird, MEX, 8bf4fcec-76c8-45f3-8280-34a6e3ea4705, 52, 6847, No update data, 9g3qrrw3qcjc
Bird, MEX, cbdf4840-40b1-4b3f-b885-30875e300865, 54, 6794, No update data, 9g3qrrmj8d2g
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 98, 14529, No update data, 9g3qrr7v68mj
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 94, 13861, No update data, 9g3qx3u205vd
Bird, MEX, 5f81f73a-286d-4d4d-bf2f-86c0e7eb1d51, 91, 12640, No update data, 9g3qx0pcfpkv
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 98, 13746, No update data, 9g3qrr7ucx7s
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 96, 13430, No update data, 9g3qx0pc663c
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 62, 8058, No update data, 9g3qrr96yymx
