Bird, MEX, 1500ff0d-077d-4e28-8885-57d1a83d4531, 96, 14195, No update data, 9g3qx8bnrkrr
Bird, MEX, a63f99a6-4205-470a-b95e-81f90e3f294e, 97, 14362, No update data, 9g3qx20m6y74
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 70, 9322, No update data, 9g3qx82wdmz1
Bird, MEX, 935adc23-099c-4d83-963c-8d256be636c2, 97, 13588, No update data, 9g3qx8bpz8k3
Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 100, 14062, No update data, 9g3qx8bpxyxx
Bird, MEX, 52b767a2-7ed4-4ad7-940f-481e67ea07c2, 42, 5177, No update data, 9g3qx2bqbu5b
Bird, MEX, 15a0257a-1513-46fd-b0b7-96c837882c77, 97, 14362, No update data, 9g3qx20m3e5r
Bird, MEX, 24154d5a-7847-46f7-b671-73de80104aff, 100, 14062, No update data, 9g3qx20965ug
Bird, MEX, 4d02ca4a-c96a-4f1b-aedf-8f138272da3b, 97, 14362, No update data, 9g3qx2099q2m
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 100, 14062, No update data, 9g3qx8br9rj3
Bird, MEX, 0c20639e-5712-4a37-8dbe-1dba147cae43, 93, 13694, No update data, 9g3qx20m8bgf
Bird, MEX, 867ca35b-befa-4310-ae76-54c25d56f7a1, 100, 14062, No update data, 9g3qx2098xnb
Bird, MEX, 5fd2529e-56f5-46f6-bd2c-82b2469a641f, 100, 14062, No update data, 9g3qx2091znt
Bird, MEX, a949a73f-499f-4743-94f6-5f7ebdb80f1b, 97, 14362, No update data, 9g3qx2098bgf
Bird, MEX, 03a41f9c-281c-4dc1-b678-9ad294384f0a, 99, 13904, No update data, 9g3qx2092d8e
Bird, MEX, 6ac19057-d456-42f2-8b15-a6f5b2115c23, 99, 14696, No update data, 9g3qx203rxuh
Bird, MEX, 96e69ef8-3fa3-4a9d-802d-66a2466af0d2, 70, 9322, No update data, 9g3qx3r6f8t5
Bird, MEX, 1f3ec013-e7a1-46b8-82ac-bfa096635032, 87, 12692, No update data, 9g3qx20jwx49
Bird, MEX, a48d6851-4bd5-4add-b1d0-9d933960a53c, 99, 14696, No update data, 9g3qx209200e
Bird, MEX, 26ed862c-b040-42aa-8d3b-d942b8998ab5, 99, 14696, No update data, 9g3qx203rc67
Bird, MEX, 76a32421-ce80-4d20-bc2a-1c6ca270594a, 100, 14062, No update data, 9g3qx20906e8
Bird, MEX, 63b64cf6-0d2b-4d45-9894-f233ab5bd67e, 97, 14362, No update data, 9g3qx208bf7y
Bird, MEX, 4f72794a-0bbf-4d61-85c8-50052f42ea5d, 100, 14062, No update data, 9g3qx20901m3
Bird, MEX, 1ff482f5-497d-4140-8c5f-613ff34dab55, 100, 14062, No update data, 9g3qx8brsn7n
Bird, MEX, 8cb4650d-7205-4523-ad35-1f77c86d39f7, 99, 14696, No update data, 9g3qx2089h4p
Bird, MEX, ec4a6eab-3e21-4544-b696-53b33dacfdb9, 96, 14195, No update data, 9g3qx203pqz5
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 99, 14696, No update data, 9g3qx203qgve
Bird, MEX, 19b4c6ce-51f7-45eb-8e06-9886c5151567, 96, 14195, No update data, 9g3qx208bhm3
Bird, MEX, 5c1ec0e4-2762-42ae-8674-6dd8c68ea9c6, 94, 13861, No update data, 9g3qx2088m7x
