Bird, MEX, eba31f36-07a3-4ec8-a5dd-be1cd6ac7cc1, 44, 5214, No update data, 9g3qrre0wtf8
Bird, MEX, e9041c55-aa4a-423f-a642-3a56b81f061c, 37, 4342, No update data, 9g3qrr9v2dbs
Bird, MEX, abed557f-85b9-4af2-b0d9-f2522f152022, 88, 12166, No update data, 9g3qrrbmx0gf
Bird, MEX, 084cb774-e6b5-4cd4-8869-1053d4ceeaf8, 78, 11189, No update data, 9g3qx3tsubzw
Bird, MEX, 1818dd08-e84e-4406-892c-a6d4b74aed63, 79, 10744, No update data, 9g3qrr9qdcep
Bird, MEX, 70c09a11-6d2e-41b9-997e-508e24375b41, 49, 6004, No update data, 9g3qx0zehb16
Bird, MEX, ef4f7d1d-dee0-4495-aebe-55222feb35c5, 81, 11060, No update data, 9g3qrrkqreu4
Bird, MEX, f8905c10-5db7-4510-86a2-877fbb779bce, 96, 13430, No update data, 9g3qrrw095fj
Bird, MEX, f4bbbbc5-3cf7-4885-a4bd-9b4c5a394917, 91, 12640, No update data, 9g3qx0pcxm2z
Bird, MEX, efbb0f9c-f89d-4803-bfad-13a3ae3c087c, 87, 12692, No update data, 9g3qx3ewuqy7
Bird, MEX, d5cfb9a4-3675-40e4-999a-2c08cb8f23fd, 64, 8374, No update data, 9g3qrr9fcj4p
Bird, MEX, fb0d56d3-8bba-41f5-a5c4-e1307d23ed75, 72, 10187, No update data, 9g3qx3exkvps
Bird, MEX, e3b38db3-ee5a-4bc4-bff6-16b39874da5d, 92, 13527, No update data, 9g3qx0pcgwc9
Bird, MEX, 5c7b1fe9-9bf2-4884-a31a-ff859e6ab8d9, 62, 8517, No update data, 9g3qrr6x8tqy
