Bird, MEX, b1c71a58-cbee-4c5d-abba-5540c32ada14, 94, 13114, No update data, 9g3qx8bxf745
Bird, MEX, 16b33ec8-f236-4b3b-a9b4-9ca35d565c9f, 94, 13114, No update data, 9g3qx8bxdgek
Bird, MEX, bbddcd29-395e-49d0-8458-8a342b3a77dd, 65, 9018, No update data, 9g3qx3tge93z
Bird, MEX, 1fcbe12b-38db-4b6f-8b08-9403ac6ebf63, 28, 2686, No update data, 9g3qrrzvp1uh
Bird, MEX, 66cd7b58-b6cc-4d4f-bf73-e0661cda79e5, 91, 13360, No update data, 9g3qrrbrg5qk
Bird, MEX, 26187cd1-9b1d-4048-a8f2-e202479c8752, 80, 10902, No update data, 9g3qx8bxev0n
Bird, MEX, 67df6a49-f472-4a36-ac60-0288732f76d4, 92, 12798, No update data, 9g3qx9087scc
Bird, MEX, f51e7ec1-b4a8-4166-b665-84331e145047, 85, 11692, No update data, 9g3qx32gmm6y
Bird, MEX, 519aac77-f8ab-41f2-b174-cc1b45b511a6, 94, 13114, No update data, 9g3qx908sr01
Bird, MEX, e1a08218-63a2-40ab-af37-a1b6bc996651, 79, 10744, No update data, 9g3qrr9sfx2j
Bird, MEX, 5ab272c7-5d26-4e57-8c45-176bfd3249a7, 34, 3841, No update data, 9g3qrrmr227v
Bird, MEX, 241c5fc8-7b59-4140-9c2c-69461b597c8c, 99, 13904, No update data, 9g3qx8byd764
Bird, MEX, cf16fd66-9688-4fe8-b72d-2d7c86ace9b9, 51, 6320, No update data, 9g3qrrmqcr2k
Bird, MEX, 8a073e6f-7697-4321-a14d-884b2d21e9e9, 46, 5530, No update data, 9g3qrxbrwuvg
Bird, MEX, f23e63b4-f266-44f2-b28a-9f449b125334, 93, 13694, No update data, 9g3qx3sr9d5e
Bird, MEX, aad313a3-b80a-4bbe-b52c-fb26679816e2, 56, 7515, No update data, 9g3qx83hk977
Bird, MEX, cb0a99dd-92a8-48a9-b2f5-fea4c8fbeff6, 92, 12798, No update data, 9g3qx90c69tq
Bird, MEX, f5a17031-2407-47e3-8678-f34a3d14c51a, 90, 12482, No update data, 9g3qx90bjhkv
Bird, MEX, 6b8c01a5-1265-43d0-93a0-619ea2a9959d, 62, 8058, No update data, 9g3qrr97tpuw
Bird, MEX, e044dca5-0d70-4eef-a0c5-5ee4314d5678, 65, 8532, No update data, 9g3qx90f6fek
Bird, MEX, af29b99b-da68-4c35-b38e-dd1caa7da380, 90, 12482, No update data, 9g3qx9238ptw
Bird, MEX, 53e7d760-42d4-4022-8fd9-ed5039793a55, 93, 12956, No update data, 9g3qx90fe2ge
Bird, MEX, 146617df-7593-4d59-90e1-ef93f831f844, 94, 13114, No update data, 9g3qx90fh3q6
Bird, MEX, edabc2ba-a8e8-4a5c-9afa-2d0d88225ba6, 87, 12008, No update data, 9g3qrrkuwrh2
Bird, MEX, a80a0e3d-32fb-41be-b5ce-99707bc72d82, 48, 5846, No update data, 9g3qx80fvpsz
Bird, MEX, cddceb0e-2b40-4841-a4a3-ee5a479febe1, 97, 13588, No update data, 9g3qrr7sx38z
Bird, MEX, 44791c9f-319f-42d6-bb66-ca5be0894bbb, 97, 14362, No update data, 9g3qrr7u2rgg
Bird, MEX, 52d9804f-be7b-4408-95c6-f5472fa27f4b, 63, 8216, No update data, 9g3qx83729r5
Bird, MEX, b290e7c8-433f-4068-ade0-8702f77b3dac, 64, 8374, No update data, 9g3qx8chr23n
Bird, MEX, 6d4e2f6f-557c-41c1-b0ec-dfe9eda61b65, 94, 13114, No update data, 9g3qx90cxyf8
Bird, MEX, f17d49c5-1830-4e58-a34d-1dd840990418, 82, 11857, No update data, 9g3qx92hj0hf
Bird, MEX, 06f17b17-5d6b-4ce0-8383-07b49ec2971e, 96, 13430, No update data, 9g3qx9111rt8
Bird, MEX, 0a222351-323c-457c-a14e-2db4ac98e2ef, 63, 8684, No update data, 9g3qrr6ttxn0
