Bird, MEX, dc222d23-7f4b-4202-b2b6-8f5de55a4490, 20, 1503, No update data, 9g3qx2n0x6zr
Bird, MEX, d08a39fb-3943-405a-b8e7-592b95df7006, 55, 7348, No update data, 9g3qx2z4vkxu
Bird, MEX, e8a7ab1c-e142-448a-b410-912c06baf363, 97, 13588, No update data, 9g3qx2zjn8zx
Bird, MEX, f32c8d18-17c7-4441-beba-a50a10891c4e, 90, 13193, No update data, 9g3qx231pvfq
Bird, MEX, 93ce25a8-fc6b-4753-8dd2-112c3bab58be, 87, 12692, No update data, 9g3qx231pbdm
Bird, MEX, 672fa0bf-09d0-434f-a0b5-b783655c8f0c, 91, 12640, No update data, 9g3qx28bzu42
Bird, MEX, cad27dc1-f7c6-4ecd-9509-e741272581fd, 93, 12956, No update data, 9g3qx21mr7z5
Bird, MEX, 62c8bbf3-a8c8-4cf1-89d8-c9ac9bceefd7, 64, 8851, No update data, 9g3qx3nmprc4
Bird, MEX, 35f9cf14-cdb8-4a9f-a3dd-4d064cc4a4f9, 93, 12956, No update data, 9g3qx21mwd4d
Bird, MEX, a4621ae1-cbdd-47d5-9dc4-f33b524134be, 71, 10020, No update data, 9g3qx28grn7g
Bird, MEX, 4d7d8717-6adf-46d2-b21a-dc2221b77ec2, 69, 9686, No update data, 9g3qx2z7j64z
Bird, MEX, 6ac284f6-46a4-436c-ac42-68ee645278bd, 46, 5530, No update data, 9g3qx2zk75ye
Bird, MEX, 8687f5b9-f008-49ea-96d9-2c85cfc3b123, 69, 9686, No update data, 9g3qx2xe5v24
Bird, MEX, dc8dba17-4285-46c5-8c88-cd9cbe3bbe33, 92, 13527, No update data, 9g3qx231nqk2
Bird, MEX, a9308dfa-1e4d-4b19-a6b9-e708f49e0654, 88, 12166, No update data, 9g3qx21mw1c0
Bird, MEX, 4404df5a-fc9e-4aa8-9174-8359e49155db, 48, 6179, No update data, 9g3qx2r6wxzx
Bird, MEX, 12097490-68fa-430f-b85a-149b9ee69074, 93, 12956, No update data, 9g3qx2zk5vhc
Bird, MEX, ec970269-2f47-4dfd-80ad-a1ba33a97a1a, 52, 6847, No update data, 9g3qx2z816jr
Bird, MEX, 4a6b8c91-3f88-4711-b0b8-9090f4415701, 93, 12956, No update data, 9g3qx21mqhrr
Bird, MEX, de559a16-112f-4af7-bb22-659ba6c581ba, 73, 10354, No update data, 9g3qx2r2eg85
Bird, MEX, 799b81c5-1bcf-474c-8856-a4c08b28d6a4, 38, 4509, No update data, 9g3qx2c5ypc0
Bird, MEX, be7f45e8-dfc4-4448-adce-e329fbd185bb, 92, 12798, No update data, 9g3qx2r25t9u
Bird, MEX, 0275247e-d8a4-4354-9ea2-73d1af9a675c, 91, 12640, No update data, 9g3qx28cjtmf
Bird, MEX, 57e32f39-36b0-44be-ad84-a7829ed6bd7a, 92, 12798, No update data, 9g3qx2z7vbgj
Bird, MEX, 32cb2fcb-39f3-4ec1-b35c-7f55c9b32cb3, 91, 12640, No update data, 9g3qx2zm5s3v
Bird, MEX, 9967c7f3-5080-4c77-95fe-adf404dc8135, 30, 3173, No update data, 9g3qx31u550j
Bird, MEX, ca1f835a-93b4-4075-a803-5b1c3d935b15, 94, 13114, No update data, 9g3qx21mk9k7
Bird, MEX, ad296b06-3371-48ac-a6ce-f772c7fbf666, 55, 7348, No update data, 9g3qx230t24y
Bird, MEX, 82dcd49c-65e1-4665-9b35-302cd6e6627b, 60, 8183, No update data, 9g3qx230srq5
Bird, MEX, 72a414a0-8b65-4ea5-bdee-163e7010ce34, 78, 10586, No update data, 9g3qrryjreu6
Bird, MEX, 9a6f38b9-362f-4d07-b5ba-cd41194ac9b1, 53, 6636, No update data, 9g3qx2ze84tw
Bird, MEX, 020ae21a-5192-412c-a151-8ed7d2c74b66, 74, 10521, No update data, 9g3qx3kkkvps
Bird, MEX, ec89493c-89f5-4d42-bfca-8288a7fda6b3, 83, 11376, No update data, 9g3qx369x72f
