Bird, MEX, 4bb34767-ffda-4ef1-966a-5f0d1be969a4, 72, 10187, No update data, 9g3qx3nwdd8n
Bird, MEX, bdf73438-8d47-40fc-bf01-1bff6bb08fe7, 67, 9352, No update data, 9g3qx3nrpz4r
Bird, MEX, 1ccedbad-8286-4690-8a8a-d7f0c651583e, 92, 13527, No update data, 9g3qx21k2pt6
Bird, MEX, f3462101-625e-4c6e-a9f0-cc7c01652f8e, 93, 13694, No update data, 9g3qx2zsmk6z
Bird, MEX, f815c609-1181-499f-9c86-c1ebf4a7906e, 94, 9794, No update data, 9g3qx2zsq8f8
Bird, MEX, 50af0392-0199-42ed-8d07-16e9a66d4d8f, 54, 6794, No update data, 9g3qrrfhdjg9
Bird, MEX, 21ceb6f6-bca8-4845-9546-4205cbb922d9, 96, 14195, No update data, 9g3qx2zsnvvz
Bird, MEX, f508e66d-1d30-4da5-8a2a-e5977729c4f3, 91, 13360, No update data, 9g3qx21hj7z8
Bird, MEX, f79fe92a-822e-48ad-bf8c-4c4953a8f041, 96, 14195, No update data, 9g3qx2zsqeze
Bird, MEX, 7beff964-6325-4b2b-8a5b-83dccdddfc36, 91, 13360, No update data, 9g3qx215tysp
Bird, MEX, 6018a9ad-c989-4a26-b2ad-86e248705377, 96, 14195, No update data, 9g3qx2zgf15z
Bird, MEX, 2cff7cc7-02e4-4d80-b93b-6a67bececbd6, 62, 8517, No update data, 9g3qx31t9z06
Bird, MEX, b7576de8-8d6e-4d24-89d4-43ccc20e86b6, 93, 9676, No update data, 9g3qx2zgdf7k
Bird, MEX, 32b20728-373e-46e0-bf5d-dedc403e8641, 67, 8848, No update data, 9g3qx3nze1y9
Bird, MEX, f00a944f-dc26-4234-9937-174fa6b9d8d5, 88, 12859, No update data, 9g3qrrswh8ss
Bird, MEX, f074dee5-8696-4b71-b1cf-7f358aa7648f, 44, 5214, No update data, 9g3qx20zbnb9
Bird, MEX, 154ee58c-8457-4ba1-a702-a0d75ea6c71d, 100, 14863, No update data, 9g3qx3p9m4hb
Bird, MEX, f6cdd7bc-0a64-4ca4-a6b5-04a1120f65a8, 93, 12956, No update data, 9g3qrrsv31fp
Bird, MEX, f045452a-a846-49ff-944d-c58a8394eac6, 90, 13193, No update data, 9g3qx20x4tj0
Bird, MEX, 2038178e-884b-4374-a472-add4acadc045, 76, 10270, No update data, 9g3qx3pc3c2s
Bird, MEX, f7ee63b0-66db-4e34-a9d9-00f1b38b1ef8, 94, 13861, No update data, 9g3qx20x1b8m
Bird, MEX, fbdde7da-b0e7-46f1-b432-c1c214bb3231, 82, 11857, No update data, 9g3qx2b2fhkf
Bird, MEX, 3ef88f04-2898-49e8-a343-4f19b1eec945, 100, 14863, No update data, 9g3qx3pf1tet
Bird, MEX, 8d195512-d172-45e7-b573-c85ea29c51e7, 100, 14863, No update data, 9g3qx3pf1vwv
Bird, MEX, d74ca8a6-3b1b-4b97-bbab-cf7b59f976d5, 100, 14863, No update data, 9g3qx3pfd6xn
Bird, MEX, 36f00274-02fe-4d11-9f7c-23cef08ef71a, 98, 14529, No update data, 9g3qx3pfe4qs
Bird, MEX, 8cba6cde-a83a-4e8a-a76e-ac875b990d63, 91, 13360, No update data, 9g3qx20qwcb8
Bird, MEX, 95e0440a-64aa-496d-9f01-f7f57d8daf4e, 91, 13360, No update data, 9g3qx20qwpp3
Bird, MEX, 7c2d144c-de61-4c6e-92d4-8067f90eb914, 82, 11857, No update data, 9g3qx8bnmze5
Bird, MEX, c692401e-ff10-44ff-a15b-7d1f2d4c041b, 49, 6004, No update data, 9g3qx8bntdwn
Bird, MEX, 5146dac5-6249-4068-8883-edb44b96c9a5, 80, 11523, No update data, 9g3qrrs6ybmb
Bird, MEX, 2303ab26-f440-49dc-a54b-902756fb142e, 84, 11534, No update data, 9g3qx20e3cyx
Bird, MEX, 9e09f84e-8e8b-44fc-8f66-70f2af59dedd, 67, 8848, No update data, 9g3qx28nfw80
Bird, MEX, 793a68be-7e00-430b-89c4-11730388f68f, 96, 13430, No update data, 9g3qx20kwdfx
Bird, MEX, 0bdc43b7-37db-4e7c-bcc3-fabad5644047, 28, 2839, No update data, 9g3qx20e1t52
Bird, MEX, 7a555408-d8d3-42aa-a998-2d93c814bfd4, 58, 7426, No update data, 9g3qx8bpqdzw
Bird, MEX, cd467842-2ef6-4ce7-bc8e-d333b4562dad, 60, 8183, No update data, 9g3qx8bpy097
Bird, MEX, 5abd72a8-9b33-439b-9685-7e4d24735512, 51, 6320, No update data, 9g3qx3e6kf36
Bird, MEX, 0c081581-ab26-47d7-a51a-df92f6a3be13, 69, 9686, No update data, 9g3qx3t46xt5
Bird, MEX, 4648b65d-a399-4a54-b06d-fedd051d440d, 94, 13861, No update data, 9g3qx20mcmv5
Bird, MEX, 4fb452cf-95e7-40c1-a3eb-d0d2076ef381, 94, 13861, No update data, 9g3qx20mb6g8
Bird, MEX, 9d592ade-a37b-401c-9171-cb48d4cb6c9c, 75, 10688, No update data, 9g3qx3r86ceq
Bird, MEX, 53239a68-389d-42f8-ad28-fa6af312c06d, 98, 13746, No update data, 9g3qx207g9py
Bird, MEX, 3616d549-9b9b-47b7-8cc9-d15c879e19b3, 98, 14529, No update data, 9g3qx20jysfw
Bird, MEX, e42a1443-5975-4735-940a-c73491edc3ad, 90, 13193, No update data, 9g3qx2090nv7
Bird, MEX, 25cb9ef9-1e87-4993-8401-a80c7614b7d5, 96, 14195, No update data, 9g3qx20jpmby
Bird, MEX, c7c9c180-b70a-46d8-92bc-9457e20c2a07, 94, 13861, No update data, 9g3qx20jwp11
Bird, MEX, adaed453-2225-4884-9907-62458453914e, 33, 3674, No update data, 9g3qx20jqqk6
Bird, MEX, 0de30390-2a08-4d45-8de7-7031e23a88eb, 96, 14195, No update data, 9g3qx203nc29
Bird, MEX, c2a114eb-d94d-4e2c-99ef-c1d97bca1b41, 93, 13694, No update data, 9g3qx202xek1
