Bird, MEX, c98f7f21-3f96-4123-ab06-e30cf61e24f0, 97, 13588, No update data, 9g3qrprxptuj
Bird, MEX, ecb0b02f-506d-46ed-868f-e6cd45f62fe1, 74, 9954, No update data, 9g3qrr29htk3
Bird, MEX, 49391cc0-0339-4676-bed0-15693b13668b, 53, 6636, No update data, 9g3qrx2zq1cq
Bird, MEX, a41de5fe-5db0-45d2-af1a-cb0c5d282cfe, 96, 13430, No update data, 9g3qrr297bhg
Bird, MEX, 3bdafdf1-748f-4556-adc8-7774eef93c8b, 63, 8216, No update data, 9g3qrpyd87ee
Bird, MEX, d3c72a91-a20a-4f51-8654-bce7e73dabb7, 100, 14062, No update data, 9g3qrprwwzj8
Bird, MEX, b5227020-63ac-40a7-a011-95b41741601f, 19, 1264, No update data, 9g3qx0vv74n2
Bird, MEX, 7f2492a3-b044-46b0-a7f3-bc8101f8fd20, 66, 8690, No update data, 9g3qrx97x1dz
Bird, MEX, 44b3f687-3522-4fde-9b44-40d840a6e61c, 70, 9322, No update data, 9g3qrr28gzsy
Bird, MEX, 4368843b-82b6-4d6c-944e-cf63b26565c4, 78, 10586, No update data, 9g3qrrn4supw
Bird, MEX, f59dcbf5-5cd5-4546-a2aa-35f2570c8c1f, 69, 9686, No update data, 9g3qx0vu3wem
Bird, MEX, b05b0a4a-ec5a-4773-b438-f3509d219467, 65, 8532, No update data, 9g3qrr1ndxm4
