Bird, MEX, 8183bef1-58b0-47d1-b7db-1c42d6540bc5, 62, 8058, No update data, 9g3qrpyubxwz
Bird, MEX, 1945dbe6-8eaa-433c-88e4-e84edc390d9a, 88, 12166, No update data, 9g3qrpyx53us
Bird, MEX, 71528959-6709-4afc-81ca-c837539a1083, 71, 9480, No update data, 9g3qx93dszru
Bird, MEX, e560fff6-fca9-4198-9588-7acf83ea6377, 48, 5846, No update data, 9g3qx1nkrg60
Bird, MEX, 8da79387-fbf3-44d0-9774-7d590d4e104f, 60, 7742, No update data, 9g3qx94n387y
Bird, MEX, 08b9df5f-fd87-4c07-9a8c-67b2fe69279b, 78, 10586, No update data, 9g3qx94n4p5z
Bird, MEX, 18f15724-a51d-45ad-90a2-980f5fc33122, 55, 6952, No update data, 9g3qx94n4k45
Bird, MEX, a7525d18-6446-405c-93d6-afc1ab5fd734, 22, 1738, No update data, 9g3qrrh6xkpn
Bird, MEX, 2f9a2326-3c86-4bb2-b092-e555f366b8ea, 93, 12956, No update data, 9g3qx93btv5n
Bird, MEX, 4c84b77f-d9af-4f20-bfb5-5e29e91185fb, 29, 2844, No update data, 9g3qx1xyrf67
Bird, MEX, 871b41d9-5bf1-40ef-a6ef-95586fd18427, 70, 9322, No update data, 9g3qx6hduk2h
